# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 89 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
20289	佁	yi3	UNSEEDED	EMPTY	<no kDefinition>
21703	哇	wa0	QUEUED		wa wā
28874	烊	yang2	QUEUED		yáng yàng
35843	调	diao4	QUEUED		diào tiáo
21602	呢	ne0	QUEUED		ne ní
28571	澛	lu3	UNSEEDED	EMPTY	<no kDefinition>
33924	蒄	guan1	UNSEEDED	EMPTY	<no kDefinition>
25945	教	jiao4	QUEUED		jiào jiāo
23117	婍	qi3	UNSEEDED	EMPTY	<no kDefinition>
181384	𬒈	que4	UNSEEDED	EMPTY	<no kDefinition>
13926	㙦	xie2	UNSEEDED	EMPTY	<no kDefinition>
20592	偰	xie4	UNSEEDED	VERBOSE, EMPTY	an ancestor of the Shāng emperors, said to be one of Shùn’s ministers
32712	翈	xia2	UNSEEDED	EMPTY	<no kDefinition>
26147	昣	zhen3	UNSEEDED	EMPTY	<no kDefinition>
27056	榰	zhi1	UNSEEDED	EMPTY	<no kDefinition>
