# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
16108	㻬	tu1	P	a kind of jade		
20047	乏	fa2	P	lack		
20047	乏	fa2	S	poor		
20249	伙	huo3	P	companion, colleague		
20249	伙	huo3	S	utensils		
20350	佾	yi4	P	a row or file of dancers		
20451	俣	yu3	P	big		
20552	偈	ji4	P	brave		
20552	偈	ji4	S	martial		
20552	偈	ji4	A	hasty		
20552	偈	ji4	A	scudding		
20754	儒	ru2	P	Confucian scholar		
20855	具	ju4	P	tool, implement		
20855	具	ju4	S	draw up, write		
21057	剁	duo4	P	chop by pounding, mince, hash		
21360	印	yin4	P	print, seal, stamp, chop, mark		
21461	叕	zhuo2	P	to connect		
22269	国	guo2	P	nation, country, nation-state		
22471	埇	yong3	P	name of bridge		
22774	壶	hu2	P	jar, pot, jug, vase		
23077	娥	e2	P	be beautiful		
23077	娥	e2	S	good		
23380	孔	kong3	P	opening, hole, orifice		
23380	孔	kong3	S	great		
23481	容	rong2	P	looks, appearance		
23481	容	rong2	S	figure, form		
23784	峨	e2	P	lofty		
23986	嶲	xi1	P	a name of an old town in Sichuan		
23986	嶲	xi1	S	cuckoo		
23986	嶲	xi1	A	revolution of a wheel		
24188	幼	you4	P	infant, young child		
24188	幼	you4	S	immature		
24794	惚	hu1	P	absent-minded, confused		
24895	愿	yuan4	P	sincere, honest, virtuous		
25198	扮	ban4	P	dress up		
25198	扮	ban4	S	dress up as		
25703	摧	cui1	P	destroy, break, injure		
26107	旻	min2	P	heaven		
26410	未	wei4	P	not yet		
26410	未	wei4	S	eighth earthly branch		
26612	柴	chai2	P	firewood, faggots, fuel		
27016	榈	lü2	P	palm		
27117	槭	qi4	P	maple		
27521	殁	mo4	P	die		
27521	殁	mo4	S	death		
27521	殁	mo4	A	dead		
27723	汋	zhuo2	P	to pour		
28127	淟	tian3	P	turbid		
28127	淟	tian3	S	muddy		
28228	湄	mei2	P	water's edge, shore, bank		
29238	父	fu4	P	father		
29642	珊	shan1	P	coral		
29743	琯	guan3	P	a jade tube used as an instrument		
30147	痃	xuan2	P	indigestion		
30147	痃	xuan2	S	buboes, lymphatic inflammation		
30450	盲	mang2	P	blind		
30450	盲	mang2	S	unperceptive, shortsighted		
31056	祐	you4	P	divine intervention, protection		
31258	稚	zhi4	P	young, immature		
31258	稚	zhi4	S	childhood		
31359	穿	chuan1	P	penetrate, pierce, drill		
31359	穿	chuan1	S	wear		
31561	等	deng3	P	rank, grade		
31561	等	deng3	S	to wait		
31561	等	deng3	A	equal, “and so forth”		
32470	绖	die2	P	white hempen cloth worn by mourners		
32773	者	zhe3	P	that which		
32773	者	zhe3	S	he who		
32773	者	zhe3	A	those who		
32874	聪	cong1	P	intelligent, clever, bright		
33177	膙	jiang3	P	callous skin on the feet		
33278	臾	yu2	P	moment, instant, short while		
33480	苈	li4	P	Draba nemorosa		
33581	茭	jiao1	P	Zizania latifolia, Manchurian wild rice		
33682	莒	ju3	P	a Zhou-dynasty vassal state in modern Shandong		
33682	莒	ju3	S	taro		
33884	葜	qia1	P	various species of the genus Smilax		
33985	蓁	zhen1	P	abundant, luxuriant vegetation		
34490	蚺	ran2	P	a boa constrictor		
34894	衎	kan4	P	to give pleasure		
34894	衎	kan4	S	pleased, happy		
35803	诛	zhu1	P	execute, kill, put to death		
35803	诛	zhu1	S	punish		
36409	踹	chuai4	P	trample, tread on, kick		
36409	踹	chuai4	S	to crush		
36510	躞	xie4	P	to walk		
36712	轨	gui3	P	track, rut, path		
37015	邗	han2	P	an ancient place in the state of Wu		
37217	酡	tuo2	P	flushed		
37217	酡	tuo2	S	rubicund		
38126	铮	zheng1	P	clanging sound		
38126	铮	zheng1	S	small gong		
38227	镓	jia1	P	gallium (element 31, Ga)		
39035	须	xu1	P	must, have to, necessary		
39540	驴	lü2	P	donkey, ass		
40146	鳒	jian1	P	big-mouthed flounder		
40550	鹦	ying1	P	parrot		
