# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 50 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
24694	恶	e4	QUEUED		è ě wù
26007	斗	dou4	QUEUED		dòu dǒu
30249	瘩	da0	QUEUED		da dá
37117	都	dou1	QUEUED		dōu dū
20048	乐	le4	QUEUED		lè yuè
29643	珋	liu3	UNSEEDED	EMPTY	<no kDefinition>
28835	炣	ke3	UNSEEDED	EMPTY	<no kDefinition>
20250	会	hui4	QUEUED		huì kuài
35905	豁	huo1	QUEUED		huō huò
182557	𬤝	hui4	UNSEEDED	EMPTY	<no kDefinition>
35299	解	jie3	QUEUED		jiě jiè xiè
36410	踺	jian4	UNSEEDED	EMPTY	<no kDefinition>
40753	鼱	jing1	UNSEEDED	EMPTY	<no kDefinition>
37319	采	cai3	QUEUED		cǎi cài
