# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 9 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
33440	芠	wen2	UNSEEDED	EMPTY	<no kDefinition>
20310	佖	bi4	UNSEEDED	EMPTY	<no kDefinition>
29602	玢	bin1	QUEUED		bīn fēn
30511	眯	mi1	QUEUED		mī mí
33945	蒙	meng2	QUEUED		méng mēng měng
29804	瑬	liu2	UNSEEDED	EMPTY	<no kDefinition>
27178	横	heng2	QUEUED		héng hèng
27986	浒	hu3	QUEUED		hǔ xǔ
36470	蹶	jue2	QUEUED		jué juě
39601	骱	jie4	UNSEEDED	EMPTY	<no kDefinition>
40106	鲪	jun1	UNSEEDED	EMPTY	<no kDefinition>
21825	啁	zhao1	QUEUED		zhāo zhōu
22330	场	chang3	QUEUED		chǎng cháng
20007	丧	sang4	QUEUED		sàng sāng
