# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 90 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
27461	歅	yin1	UNSEEDED	EMPTY	<no kDefinition>
39278	饮	yin3	QUEUED		yǐn yìn
33218	臂	bi4	QUEUED		bì bei
29279	牟	mou2	QUEUED		móu mù
32511	绿	lü4	QUEUED		lǜ lù
38470	陆	lu4	QUEUED		lù liù
20896	冠	guan1	QUEUED		guān guàn
26552	枸	gou3	QUEUED		gǒu gōu jǔ
21704	哈	ha1	QUEUED		hā hǎ hà
27663	氏	shi4	QUEUED		shì zhī
