# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
17627	䓛	qu1	P	molecular formula (C18H12), to brush		
20051	乓	pang1	P	“pong” of “ping pong”		
20152	亸	duo3	P	read aloud, recite, chant		
20152	亸	duo3	S	droop		
20354	侂	tuo1	P	to commission, to entrust to, to depute		
20354	侂	tuo1	S	to request, to ask		
20556	偌	ruo4	P	thus, so, like, such		
20859	养	yang3	P	raise, rear, bring up		
20859	养	yang3	S	support		
21061	剅	lou2	P	mouth of a stream		
21061	剅	lou2	S	waterway beneath a dam		
21162	努	nu3	P	to exert, strive, make an effort		
21162	努	nu3	S	to pout		
21263	匏	pao2	P	gourd		
21263	匏	pao2	S	musical instrument		
21364	却	que4	P	still, but		
21364	却	que4	S	decline		
21364	却	que4	A	retreat		
21465	叙	xu4	P	express, state, relate, narrate		
21566	吾	wu2	P	i, my, our		
21566	吾	wu2	S	resist, impede		
21667	咣	guang1	P	the sound of large door closing		
21869	啭	zhuan4	P	sing, chirp, warble, twitter		
21970	嗒	da1	P	absent-minded		
22374	坦	tan3	P	flat, smooth		
22374	坦	tan3	S	self-possessed		
22576	堰	yan4	P	dam		
22576	堰	yan4	S	embankment, dike, bank		
23081	娩	mian3	P	give birth child		
23081	娩	mian3	S	complaisant		
23384	存	cun2	P	exist, live, be		
23384	存	cun2	S	survive		
23384	存	cun2	A	remain		
23485	宽	kuan1	P	broad, wide		
23485	宽	kuan1	S	spacious, vast		
23586	尢	wang1	P	weak		
24091	帛	bo2	P	silks, fabrics		
24091	帛	bo2	S	wealth, property		
24596	怔	zheng4	P	a disease resembling neurosis		
24697	恹	yan1	P	feeble, sickly		
24697	恹	yan1	S	tranquil, calm		
25000	憨	han1	P	foolish, silly, coquettish		
25101	戍	shu4	P	defend borders, guard frontiers		
25808	擐	huan4	P	to put on		
26212	晤	wu4	P	have interview with		
26212	晤	wu4	S	meet		
26818	棂	ling2	P	carved or patterned window sills		
27121	槱	you3	P	firewood for sacrifice		
27424	欠	qian4	P	owe, lack, be deficient		
27626	毪	mu2	P	serge from Tibet		
27929	洙	zhu1	P	name of a river in Shandong		
29343	犟	jiang4	P	stubborn		
29444	猄	jing1	P	a kind of deer		
29747	琳	lin2	P	beautiful jade, gem		
29848	璘	lin2	P	luster of jade		
30353	皑	ai2	P	brilliant white		
30555	睛	jing1	P	eyeball		
30555	睛	jing1	S	pupil of eye		
30757	砥	di3	P	a whetstone		
30757	砥	di3	S	to polish		
31161	禹	yu3	P	legendary hsia dynasty founder		
31262	稞	ke1	P	grain ready for grinding		
31262	稞	ke1	S	grain		
31363	窃	qie4	P	secretly, stealthily		
31363	窃	qie4	S	steal		
31363	窃	qie4	A	thief		
31868	籼	xian1	P	non-glutinous long grain rice		
32474	绚	xuan4	P	variegated, adorned		
32474	绚	xuan4	S	brilliant		
32676	群	qun2	P	group, crowd, multitude, mob		
33080	脸	lian3	P	face		
33080	脸	lian3	S	cheek		
33080	脸	lian3	A	reputation		
33181	膝	xi1	P	knee		
33282	舂	chong1	P	grind in mortar		
33484	苌	chang2	P	star fruit, Averrhoa carambola		
33585	茱	zhu1	P	dogwood		
34191	薏	yi4	P	seed of Job's tears		
34191	薏	yi4	S	lotus seed		
34595	蜣	qiang1	P	dung beetle		
34696	螈	yuan2	P	a silkworm		
34898	衒	xuan4	P	brag		
34898	衒	xuan4	S	show off, promote oneself		
34999	袷	qia1	P	lined garment		
35302	触	chu4	P	butt, ram, gore		
35302	触	chu4	S	touch		
35807	诟	gou4	P	abuse, scold, berate, insult		
36211	赳	jiu1	P	grand, valiant		
36413	踽	ju3	P	to walk alone		
36413	踽	ju3	S	self-reliant		
36817	近	jin4	P	near, close		
36817	近	jin4	S	approach		
36817	近	jin4	A	intimate		
36918	逶	wei1	P	winding, curving		
36918	逶	wei1	S	swagger		
37019	邛	qiong2	P	in distress		
37019	邛	qiong2	S	a mound		
37120	鄀	ruo4	P	state in Henan province		
37221	酥	su1	P	butter		
37221	酥	su1	S	flaky, crispy, light, fluffy		
37322	释	shi4	P	interpret, elucidate		
37322	释	shi4	S	release		
38029	钍	tu3	P	thorium (element 90, Th)		
38130	铲	chan3	P	spade, shovel, trowel, scoop		
38433	阡	qian1	P	footpaths between fields		
38433	阡	qian1	S	paths		
38534	隆	long2	P	prosperous, plentiful, abundant		
39039	顿	dun4	P	pause, stop		
39039	顿	dun4	S	bow, kowtow		
39039	顿	dun4	A	arrange		
39544	驸	fu4	P	extra horse		
39544	驸	fu4	S	imperial son-in-law		
39746	魂	hun2	P	soul, spirit		
40150	鳖	bie1	P	turtle		
40554	鹪	jiao1	P	wren		
40655	黏	nian2	P	stick to		
40655	黏	nian2	S	glutinous, sticky		
40655	黏	nian2	A	glue		
40857	龙	long2	P	dragon		
40857	龙	long2	S	symbolic of emperor		
177813	𫚕	shi1	P	a yellowtail (fish)		
179227	𫰛	xing2	P	beautiful woman		
