# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 22 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
20323	佣	yong1	QUEUED		yōng yòng
26080	无	wu2	QUEUED		wú mó
27999	浟	you2	UNSEEDED	EMPTY	<no kDefinition>
134352	𠳐	bang1	UNSEEDED	EMPTY	<no kDefinition>
21333	单	dan1	QUEUED		dān chán shàn
25171	打	da3	QUEUED		dǎ dá
29716	琔	dian4	UNSEEDED	EMPTY	<no kDefinition>
21737	哩	li1	QUEUED		lī li
39311	馏	liu2	QUEUED		liú liù
33655	荷	he2	QUEUED		hé hè
22040	嘘	xu1	QUEUED		xū shī
21939	喳	zha1	QUEUED		zhā chā
15576	㳘	chong1	UNSEEDED	VERBOSE, EMPTY	a fountain or spring flows downwards, sound of the flowing water
26787	梣	chen2	QUEUED		chén qín
31534	笮	ze2	QUEUED		zé zuó
