# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 70 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
38753	靡	mi2	QUEUED		mí mǐ
179042	𫭢	lun3	UNSEEDED	EMPTY	<no kDefinition>
22391	坷	ke3	QUEUED		kě kē
34309	蘅	heng2	UNSEEDED	VERBOSE, EMPTY	a fragrant plant with a medicinal root, a type of wild ginger
36228	趄	ju1	QUEUED		jū qiè
29764	瑄	xuan1	UNSEEDED	VERBOSE, EMPTY	an ornamental piece of jade several inches across with a hole in the center
17644	䓬	zhuo2	UNSEEDED	EMPTY	<no kDefinition>
21482	只	zhi3	QUEUED		zhǐ zhī
27542	殖	zhi2	QUEUED		zhí shi
36733	载	zai4	QUEUED		zài zǎi
