# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 87 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
26044	於	yu2	QUEUED		yú yū
165525	𨚕	bian4	UNSEEDED	EMPTY	<no kDefinition>
33619	荓	ping2	UNSEEDED	EMPTY	<no kDefinition>
32609	罡	gang1	UNSEEDED	VERBOSE, EMPTY	the stars making up the handle of the Big Dipper (Alkaid, Mizar, and Alioth)
38164	锔	ju1	QUEUED		jū jú
158556	𦭜	zhi1	UNSEEDED	EMPTY	<no kDefinition>
28468	漴	chong2	QUEUED		chóng shuāng
35841	谁	shei2	QUEUED		shéi shuí
32508	综	zong1	QUEUED		zōng zèng
26852	棤	cuo4	UNSEEDED	EMPTY	<no kDefinition>
