# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20459	俫	lai2	P	to induce to come		
20459	俫	lai2	S	to encourage		
20964	凤	feng4	P	male phoenix		
20964	凤	feng4	S	symbol of joy		
21368	卸	xie4	P	lay down		
21368	卸	xie4	S	retire from office		
21974	嗖	sou1	P	whizzing sound		
22075	嘻	xi1	P	mirthful, happy		
22075	嘻	xi1	S	interjection		
22378	坪	ping2	P	level ground		
22378	坪	ping2	S	Japanese measure		
22479	埏	shan1	P	a boundary, a limit		
22681	墙	qiang2	P	wall		
23186	媒	mei2	P	go-between, matchmaker		
23186	媒	mei2	S	medium		
23388	孜	zi1	P	be as diligent as possible		
23489	寁	zan3	P	quick, fast		
23792	峰	feng1	P	peak, summit		
23792	峰	feng1	S	hump of camel		
24196	庄	zhuang1	P	village, hamlet		
24196	庄	zhuang1	S	villa, manor		
24701	恽	yun4	P	devise, plan, deliberate		
24701	恽	yun4	S	consult		
25004	憬	jing3	P	rouse, awaken		
25004	憬	jing3	S	become conscious		
25105	我	wo3	P	our, us, i, me, my, we		
25206	扶	fu2	P	support, help		
25206	扶	fu2	S	protect		
25206	扶	fu2	A	hold on		
25307	招	zhao1	P	beckon, summon		
25307	招	zhao1	S	recruit, levy		
25509	接	jie1	P	receive		
25509	接	jie1	S	continue		
25509	接	jie1	A	catch		
25509	接	jie1	A	connect		
25913	改	gai3	P	change, alter		
25913	改	gai3	S	improve, remodel		
26115	昃	ze4	P	afternoon		
26115	昃	ze4	S	the sun in the afternoon sky		
26115	昃	ze4	A	to decline		
26216	晨	chen2	P	early morning, daybreak		
26519	林	lin2	P	forest, grove		
26721	桡	rao2	P	bent or twisted piece of wood		
27529	殉	xun4	P	die for cause, be martyr for		
27832	沸	fei4	P	boil, bubble up, gush		
28034	涂	tu2	P	surname		
28034	涂	tu2	S	name of certain rivers		
28337	溱	qin2	P	river in Henan		
28438	漖	jiao4	P	a branching river (used in toponyms)		
28640	濠	hao2	P	moat, trench, ditch		
29044	煴	yun1	P	sultriness, stuffiness		
29549	獭	ta3	P	otter		
29852	璜	huang2	P	a semicircular jade ornament used as a pendant		
30054	畦	qi2	P	sections in vegetable farm		
30256	瘰	luo3	P	scrofula, swellings		
30357	皕	bi4	P	two hundred		
30862	碎	sui4	P	break, smash		
30862	碎	sui4	S	broken, busted		
31165	禽	qin2	P	birds, fowl		
31165	禽	qin2	S	capture		
31569	筑	zhu4	P	ancient lute		
31569	筑	zhu4	S	build		
32478	绞	jiao3	P	twist, wring		
32478	绞	jiao3	S	intertwine		
32478	绞	jiao3	A	winch		
32781	耍	shua3	P	frolic, play, amuse, play with		
32983	胗	zhen1	P	gizzard		
33286	舆	yu2	P	cart, palanquin, sedan chair		
33589	茵	yin1	P	a cushion, mattress		
33589	茵	yin1	S	wormwood		
33589	茵	yin1	A	Skimmia japon		
33993	蓉	rong2	P	hibiscus		
33993	蓉	rong2	S	Chengdu, Sichuan		
35811	诣	yi4	P	reach		
35811	诣	yi4	S	achievement, accomplishment		
36215	起	qi3	P	rise, stand up		
36215	起	qi3	S	go up		
36215	起	qi3	A	begin		
36417	蹁	pian2	P	to walk with a limp		
36720	轰	hong1	P	rumble, explosion, blast		
36821	迕	wu3	P	obstinate, perverse		
37124	鄄	juan4	P	a county in Shandong		
37225	酩	ming3	P	drunk		
37225	酩	ming3	S	intoxicated		
37225	酩	ming3	A	tipsy		
37326	野	ye3	P	open country, field		
37326	野	ye3	S	wilderness		
38134	银	yin2	P	silver		
38134	银	yin2	S	cash, money, wealth		
38235	镛	yong1	P	large bell used as musical instrument		
38639	雯	wen2	P	cloud patterns, coloring of cloud		
39043	颃	hang2	P	fly down or downward		
39144	飨	xiang3	P	host banquet		
39144	飨	xiang3	S	banquet		
39548	驼	tuo2	P	a camel		
39548	驼	tuo2	S	humpbacked		
39548	驼	tuo2	A	to carry on the back		
39649	髡	kun1	P	to shave the head as a punishment		
39649	髡	kun1	S	to prune		
39750	魆	xu1	P	black		
40154	鳚	wei4	P	general term of a kind of fish, a snake-like fish		
40558	鹮	huan2	P	spoonbill		
40558	鹮	huan2	S	ibis		
40558	鹮	huan2	A	family Threskiornidae		
