# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 59 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
26420	朴	pu3	QUEUED		pǔ piáo pò
28036	涄	ping1	UNSEEDED	EMPTY	<no kDefinition>
28541	潽	pu1	UNSEEDED	EMPTY	<no kDefinition>
26218	晪	tian3	UNSEEDED	EMPTY	<no kDefinition>
32783	耏	nai4	QUEUED		nài ér
31773	簝	liao2	UNSEEDED	EMPTY	<no kDefinition>
22380	坬	gua4	QUEUED		guà wā
34500	蛄	gu1	QUEUED		gū gǔ
40863	龟	gui1	QUEUED		guī jūn qiū
29551	獯	xun1	UNSEEDED	VERBOSE, EMPTY	a tribe of Scythians which invaded China during the Xia dynasty
