# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 10 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
23846	崦	yan1	UNSEEDED	VERBOSE, EMPTY	a mountain in Kansu, where there is a cave into which the sun is said to sink at night
33643	荫	yin1	QUEUED		yīn yìn
29704	琈	fu2	UNSEEDED	EMPTY	<no kDefinition>
25361	挑	tiao1	QUEUED		tiāo tiǎo
28896	烠	hui2	UNSEEDED	EMPTY	<no kDefinition>
34249	藉	ji2	QUEUED		jí jiè
38592	雀	que4	QUEUED		què qiāo qiǎo
21523	吓	xia4	QUEUED		xià hè
28391	滧	xiao4	UNSEEDED	EMPTY	<no kDefinition>
25159	扇	shan4	QUEUED		shàn shān
34552	蛸	shao1	QUEUED		shāo xiāo
