# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 11 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
40512	鹀	wu2	UNSEEDED	EMPTY	<no kDefinition>
24150	幖	biao1	UNSEEDED	EMPTY	<no kDefinition>
30917	磅	bang4	QUEUED		bàng páng
31321	穙	pu2	UNSEEDED	EMPTY	<no kDefinition>
23443	宓	mi4	QUEUED		mì fú
38391	闷	men4	QUEUED		mèn mēn
24453	待	dai4	QUEUED		dài dāi
32735	翟	di2	QUEUED		dí zhái
28291	溃	kui4	QUEUED		kuì huì
174640	𪨰	qu1	UNSEEDED	EMPTY	<no kDefinition>
183932	𬹼	xie4	UNSEEDED	EMPTY	<no kDefinition>
21019	创	chuang4	QUEUED		chuàng chuāng
25968	数	shu4	QUEUED		shù shǔ shuò
26877	棽	shen1	QUEUED		shēn chēn
