# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20134	亦	yi4	P	also, too		
20134	亦	yi4	S	likewise		
20235	伋	ji2	P	deceptive		
20336	佰	bai3	P	hundred		
20538	债	zhai4	P	debt, loan, liabilities		
21043	刳	ku1	P	cut out, dig, rip up, scoop out		
21346	卢	lu2	P	cottage, hut		
21346	卢	lu2	S	black		
21447	叇	dai4	P	cloudy sky		
21447	叇	dai4	S	not clear		
21447	叇	dai4	A	dark		
21548	听	ting1	P	hear		
21548	听	ting1	S	understand		
21548	听	ting1	A	obey, comply		
22558	堞	die2	P	plate		
22659	境	jing4	P	boundary, frontier		
22659	境	jing4	S	area, region		
22962	妲	da2	P	concubine of last ruler of the Shang dynasty		
23164	婼	ruo4	P	person		
23265	嫡	di2	P	legal wife, child of legal wife		
23467	宫	gong1	P	palace		
23871	崿	e4	P	cliffs		
24275	廓	kuo4	P	broad, wide, open, empty		
24275	廓	kuo4	S	to expand		
24376	弸	peng2	P	a bow stretched to the full		
24376	弸	peng2	S	tensely drawn		
24578	怂	song3	P	instigate, arouse, incite		
24679	恧	nü4	P	ashamed		
25386	挪	nuo2	P	move, shift on one side		
25487	掏	tao1	P	take out		
25487	掏	tao1	S	pull out		
25487	掏	tao1	A	clean out		
25588	援	yuan2	P	aid, assist		
25588	援	yuan2	S	lead		
25588	援	yuan2	A	cite		
26093	旭	xu4	P	rising sun		
26093	旭	xu4	S	brilliance		
26093	旭	xu4	A	radiant		
26194	晒	shai4	P	dry in sun, expose to sun		
26497	极	ji2	P	extreme, utmost, furthest, final		
26800	械	xie4	P	weapons		
26800	械	xie4	S	implements, instruments		
27204	橄	gan3	P	olive		
27305	檩	lin3	P	the bole of a tree		
27305	檩	lin3	S	a cross beam		
27305	檩	lin3	A	the combing round the hatches of a ship		
27911	洇	yin1	P	to soak paper, blot		
28012	浬	li3	P	nautical mile		
28113	淑	shu1	P	good, pure, virtuous, charming		
28820	炔	que1	P	an alkyne (e.g., acetylene)		
28921	烹	peng1	P	boil, cook		
28921	烹	peng1	S	quick fry, stir fry		
29123	燃	ran2	P	burn		
29123	燃	ran2	S	light fire, ignite		
29224	爨	cuan4	P	oven, cooking stove		
29224	爨	cuan4	S	cook		
29426	狲	sun1	P	monkey		
29527	獗	jue2	P	unruly, wild, violent, lawless		
29628	玼	ci3	P	beautiful color of gem		
29628	玼	ci3	S	flaw in		
29830	璆	qiu2	P	beautiful jade		
29830	璆	qiu2	S	tinkle		
30133	疵	ci1	P	flaw, fault, defect		
30133	疵	ci1	S	disease		
31143	禧	xi3	P	happiness		
31143	禧	xi3	S	congratulations		
31244	稌	tu2	P	glutinous rice		
31446	竖	shu4	P	perpendicular, vertical		
31446	竖	shu4	S	erect		
32456	终	zhong1	P	end		
32456	终	zhong1	S	finally, in the end		
32557	缭	liao2	P	wind round, rap around, bind		
32961	胁	xie2	P	ribs, armpits		
32961	胁	xie2	S	flank		
32961	胁	xie2	A	threaten		
33769	菩	pu2	P	herb, aromatic plant		
33870	葎	lü4	P	Humulus japonicus		
34476	蚬	xian3	P	a variety of bivalves		
34678	蝶	die2	P	butterfly		
34779	蟛	peng2	P	a land-crab		
35082	褊	bian3	P	cramped, narrow, crowded		
35082	褊	bian3	S	mean		
35789	词	ci2	P	words		
35789	词	ci2	S	phrase, expression		
35890	谲	jue2	P	cunning, crafty, sly, wily		
36193	赡	shan4	P	support, aid		
36193	赡	shan4	S	rich, elegant		
36294	跆	tai2	P	trample		
36496	躐	lie4	P	to stride over		
36496	躐	lie4	S	to step across		
36799	辿	chan1	P	follow, pursue		
38112	铠	kai3	P	armor, chain mail		
38213	镅	mei2	P	americium (element 95, Am)		
38415	阏	yan1	P	block, obstruct, stop up		
38516	陴	pi2	P	a parapet on a city wall		
38718	霾	mai2	P	misty, foggy		
38718	霾	mai2	S	dust storm		
38819	鞣	rou2	P	tan		
38819	鞣	rou2	S	soften		
39122	飒	sa4	P	the sound of the wind		
39122	飒	sa4	S	bleak		
39122	飒	sa4	A	melancholy		
39627	髋	kuan1	P	hipbone		
39627	髋	kuan1	S	hip		
40132	鳄	e4	P	alligator		
40637	麽	mo2	P	interrogative final particle		
40637	麽	mo2	S	insignificant, small, tiny		
40738	鼢	fen2	P	a variety of mole		
40839	龇	zi1	P	to show the teeth		
40839	龇	zi1	S	crooked teeth		
181835	𬙋	xiang1	P	belt		
