# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
15559	㳇	fu4	P	to float		
15559	㳇	fu4	S	to waft		
15559	㳇	fu4	A	to swim		
17377	䏡	shi4	P	uncooked or raw meat, an organic compound		
17377	䏡	shi4	S	Proteose		
20508	倜	ti4	P	raise high		
20508	倜	ti4	S	unrestrained		
20710	僦	jiu4	P	to heir		
20710	僦	jiu4	S	to rent		
20811	克	ke4	P	gram		
20811	克	ke4	S	overcome		
20811	克	ke4	A	transliteration		
20912	冰	bing1	P	ice		
20912	冰	bing1	S	ice-cold		
21215	募	mu4	P	levy, raise		
21215	募	mu4	S	summon		
21215	募	mu4	A	recruit		
21417	厩	jiu4	P	stable		
21417	厩	jiu4	S	barnyard		
21518	后	hou4	P	queen, empress, sovereign		
21518	后	hou4	S	behind, rear, after		
21619	味	wei4	P	taste, smell, odor		
21619	味	wei4	S	delicacy		
22124	噬	shi4	P	bite		
22124	噬	shi4	S	gnaw		
22124	噬	shi4	A	snap at		
22831	夯	hang1	P	heavy load, burden		
22831	夯	hang1	S	lift up		
23033	姹	cha4	P	beautiful, colorful		
23033	姹	cha4	S	girl		
23134	婞	xing4	P	hate		
24043	巫	wu1	P	wizard, sorcerer, witch, shaman		
24245	庵	an1	P	Buddhist monastery or nunnery		
24548	忤	wu3	P	insubordinate, stubborn		
24548	忤	wu3	S	wrong		
25558	揖	yi1	P	salute, bow		
25558	揖	yi1	S	defer to, yield		
26063	族	zu2	P	a family clan, ethnic group, tribe		
26164	昴	mao3	P	18th lunar mansion, determinative star 17 Tauri (Electra)		
26568	柈	ban4	P	container		
27073	槁	gao3	P	wither		
27073	槁	gao3	S	withered, rotten, dead		
27679	氟	fu2	P	fluorine (element 9, F)		
27780	沄	yun2	P	billows		
28386	滢	ying2	P	clear, pure water		
28386	滢	ying2	S	lucid		
28386	滢	ying2	A	glossy		
28487	潇	xiao1	P	sound of beating wind and rain		
28790	灶	zao4	P	kitchen stove, cooking stove		
28891	烛	zhu2	P	candle, taper		
28891	烛	zhu2	S	shine, illuminate		
29093	熥	teng1	P	heat up by steaming		
29295	牯	gu3	P	cow		
29295	牯	gu3	S	bull		
29295	牯	gu3	A	ox		
29497	猹	cha2	P	wild animal mentioned in short story by Lu Xun		
29598	玞	fu1	P	an inferior agate		
29699	球	qiu2	P	ball, sphere, globe		
29699	球	qiu2	S	round		
29800	瑨	jin4	P	jade look alike stone		
30002	甲	jia3	P	armor, shell		
30002	甲	jia3	S	fingernails		
30002	甲	jia3	A	1st heavenly stem		
30103	疗	liao2	P	be healed, cured, recover		
30204	痼	gu4	P	chronic disease		
30406	盆	pen2	P	basin, tub, pot, bowl		
30810	硚	qiao2	P	place in Sichuan province		
31416	窸	xi1	P	faint sound, whisper		
31921	粱	liang2	P	better varieties of millet		
32628	罴	pi2	P	brown bear, Ursus arctos		
32729	翙	hui4	P	whir		
33133	腭	e4	P	palate, roof of mouth		
33335	舷	xian2	P	the sides of a boat, bulwarks		
33335	舷	xian2	S	a gunwale		
33436	芜	wu2	P	luxurious growth of weeds		
33537	茁	zhuo2	P	to sprout, flourish		
33537	茁	zhuo2	S	sprouts appearing above-ground		
33537	茁	zhuo2	A	vigorous		
33638	荦	luo4	P	brindled ox		
33638	荦	luo4	S	brindled in color		
34345	蘩	fan2	P	Artemisia stelleriana		
34547	蛳	si1	P	kind of snail with spiral shell		
34648	蝘	yan3	P	gecko, kind of cicada		
34749	螽	zhong1	P	katydid		
34850	蠢	chun3	P	wriggle		
34850	蠢	chun3	S	stupid		
34850	蠢	chun3	A	silly		
34850	蠢	chun3	A	fat		
35759	讯	xun4	P	inquire		
35759	讯	xun4	S	ask		
35759	讯	xun4	A	examine		
35759	讯	xun4	A	reproach		
35860	谔	e4	P	honest speech, straightforward		
35961	豹	bao4	P	leopard, panther		
36163	赃	zang1	P	booty, loot, stolen goods		
36163	赃	zang1	S	bribe		
36466	蹲	dun1	P	squat, crouch		
36466	蹲	dun1	S	idle about		
36870	逆	ni4	P	disobey, rebel		
36870	逆	ni4	S	rebel, traitor		
37072	郐	kuai4	P	state in today's Henan province		
37274	醚	mi2	P	ether		
38082	铂	bo2	P	platinum		
38082	铂	bo2	S	thin sheet of metal		
38183	锧	zhi4	P	chopping block, executioner's block		
38385	闱	wei2	P	gate, door		
38385	闱	wei2	S	living quarters		
38890	韪	wei3	P	right		
38890	韪	wei3	S	proper		
38890	韪	wei3	A	propriety		
39698	鬒	zhen3	P	black, glossy hair		
40102	鲦	tiao2	P	minnow		
40506	鸺	xiu1	P	horned owl, scops chinensis		
40607	麟	lin2	P	female of Chinese unicorn		
171907	𩾃	mian3	P	Sciaena albiflora		
171907	𩾃	mian3	S	Otolithoides miiuy		
174331	𪣻	lou2	P	small mound		
177462	𫔶	nie4	P	the doorsill		
178169	𫟹	hong2	P	trigger		
181805	𬘭	chen1	P	to stop		
181805	𬘭	chen1	S	adjusted, in order		
183118	𬭎	hong2	P	state in today's Hubei province		
