# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 47 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21964	嗌	ai4	QUEUED		ài yì
26509	枍	yi4	UNSEEDED	EMPTY	<no kDefinition>
29842	璒	deng1	UNSEEDED	EMPTY	<no kDefinition>
16207	㽏	gan4	UNSEEDED	EMPTY	<no kDefinition>
20146	亲	qin1	QUEUED		qīn qìng
27923	洓	qi4	UNSEEDED	EMPTY	<no kDefinition>
34892	行	xing2	QUEUED		xíng háng héng
30044	畜	chu4	QUEUED		chù xù
36710	车	che1	QUEUED		chē jū
33882	葚	ren4	QUEUED		rèn shèn
