# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 30 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
29926	瓦	wa3	QUEUED		wǎ wà
21543	吧	ba0	QUEUED		ba bā
21745	哱	bo1	UNSEEDED	EMPTY	<no kDefinition>
22957	妭	ba2	UNSEEDED	EMPTY	<no kDefinition>
25482	掊	pou2	QUEUED		póu pǒu
34067	蔓	man4	QUEUED		màn mán wàn
183850	𬸪	fan2	UNSEEDED	EMPTY	<no kDefinition>
38107	铛	dang1	QUEUED		dāng chēng
20937	凉	liang2	QUEUED		liáng liàng
32047	累	lei4	QUEUED		lèi léi lěi
25179	扛	kang2	QUEUED		káng gāng
21644	和	he2	QUEUED		hé hè hú huó huò huo
31946	糊	hu2	QUEUED		hú hū hù
26896	椐	ju1	UNSEEDED	EMPTY	<no kDefinition>
150217	𤫉	xie4	UNSEEDED	EMPTY	<no kDefinition>
23967	嶟	zun1	UNSEEDED	EMPTY	<no kDefinition>
21442	参	can1	QUEUED		cān cēn shēn
