# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
15114	㬊	huan3	P	light		
15114	㬊	huan3	S	bright, clear, intelligent		
15114	㬊	huan3	A	clever		
20063	也	ye3	P	also		
20063	也	ye3	S	classical final particle of strong affirmation or identity		
20164	仄	ze4	P	slanting, oblique		
20164	仄	ze4	S	oblique tones		
20467	俳	pai2	P	actor		
20467	俳	pai2	S	vaudeville show		
20467	俳	pai2	A	insincere		
21073	剑	jian4	P	sword, dagger, saber		
21578	告	gao4	P	tell, announce, inform		
21578	告	gao4	S	accuse		
21780	唔	wu2	P	hold in mouth		
21780	唔	wu2	S	bite		
21780	唔	wu2	A	not, negation		
21982	嗞	zi1	P	to consult about, to plan		
21982	嗞	zi1	S	to report in writing to an equal		
21982	嗞	zi1	A	a despatch		
22487	埗	bu4	P	a wharf, dock, jetty		
22487	埗	bu4	S	a trading center, port		
22689	墡	shan4	P	chalk		
22992	姐	jie3	P	elder sister, young lady		
23093	娵	ju1	P	star		
23194	媚	mei4	P	charming, attractive		
23194	媚	mei4	S	flatter		
23396	孤	gu1	P	orphan, fatherless		
23396	孤	gu1	S	solitary		
23901	嵝	lou3	P	Goulou mountain peak in Hunan		
24103	帧	zhen1	P	picture, scroll		
24103	帧	zhen1	S	one of pair of		
24406	彖	tuan4	P	a hog		
24406	彖	tuan4	S	a hedgehog		
24406	彖	tuan4	A	a porcupine		
24608	怠	dai4	P	idle, remiss, negligent		
24608	怠	dai4	S	neglect		
25214	找	zhao3	P	search, seek, look for		
25214	找	zhao3	S	find		
25315	拣	jian3	P	choose		
25315	拣	jian3	S	select		
25315	拣	jian3	A	pick up		
25315	拣	jian3	A	gather		
25517	掭	tian4	P	to manipulate		
25517	掭	tian4	S	a pricker for a lamp-wick		
26224	晰	xi1	P	clear, evident		
26224	晰	xi1	S	clearly		
26426	机	ji1	P	desk		
26426	机	ji1	S	machine		
26426	机	ji1	A	moment		
26729	桩	zhuang1	P	stake, post		
26729	桩	zhuang1	S	affair, matter		
27133	槽	cao2	P	trough		
27133	槽	cao2	S	manger		
27133	槽	cao2	A	vat, tank		
27133	槽	cao2	A	groove		
27133	槽	cao2	A	a distillery		
27739	汛	xun4	P	high water, flood tides		
27941	津	jin1	P	ferry		
27941	津	jin1	S	saliva		
27941	津	jin1	A	ford		
28143	淯	yu4	P	old name of Baihe in Henan		
28244	湔	jian1	P	wash, cleanse		
28244	湔	jian1	S	purge		
28951	焗	ju2	P	to roast, bake		
28951	焗	ju2	S	to suffocate, stuffy		
30264	瘸	que2	P	lameness, paralysis of hands, leg		
30971	磻	pan2	P	a tributary of the Wei river in Shanxi		
31072	祠	ci2	P	ancestral temple		
31072	祠	ci2	S	offer sacrifice		
32486	绦	tao1	P	silk cord, ribbon		
32688	羰	tang1	P	carbonyl group		
32789	耕	geng1	P	plow, cultivate		
33395	艳	yan4	P	beautiful, sexy, voluptuous		
33496	苘	qing3	P	Indian mallow		
33900	葬	zang4	P	bury, inter		
34001	蓑	suo1	P	rain coat made of straw, coir, etc.		
34203	薛	xue1	P	kind of marsh grass		
34203	薛	xue1	S	feudal state		
34506	蛊	gu3	P	poison		
34506	蛊	gu3	S	venom		
34506	蛊	gu3	A	harm		
34506	蛊	gu3	A	bewitch		
34809	蟹	xie4	P	crab		
35819	诫	jie4	P	warn, admonish		
35819	诫	jie4	S	warning		
36324	跤	jiao1	P	stumble, fall down		
36324	跤	jiao1	S	wrestle		
36425	蹉	cuo1	P	error, mistake, slip		
36425	蹉	cuo1	S	failure		
36728	轸	zhen3	P	cross board at rear of carriage		
36829	违	wei2	P	disobey, violate, defy		
36829	违	wei2	S	be apart from		
37132	鄌	tang2	P	a place in Shandong		
37233	酱	jiang4	P	any jam-like or paste-like food		
37738	鍪	mou2	P	an iron pan		
37738	鍪	mou2	S	a metal cap		
38041	钙	gai4	P	calcium (element 20, Ca)		
38142	链	lian4	P	chain, wire, cable		
38142	链	lian4	S	chain, shack		
38243	镣	liao4	P	fetters		
38647	雷	lei2	P	thunder		
39051	颋	ting3	P	straight		
39253	饕	tao1	P	gluttonous, greedy, covetous		
39556	骄	jiao1	P	spirited horse		
39556	骄	jiao1	S	haughty		
40061	鱽	dao1	P	the mullet		
40162	鳢	li3	P	snakehead		
40667	黛	dai4	P	blacken eyebrows		
40667	黛	dai4	S	black		
177421	𫔍	fan2	P	vanadium (element 23, V)		
182269	𬟽	dong1	P	rainbow		
