# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
18265	䝙	chu1	P	a kind of animal like a tiger		
18265	䝙	chu1	S	fierce wild beasts		
20083	乳	ru3	P	breast, nipples		
20083	乳	ru3	S	milk, suckle		
20184	付	fu4	P	give, deliver, pay, hand over		
20184	付	fu4	S	entrust		
20588	偬	zong3	P	urgent		
20891	军	jun1	P	army, military		
20891	军	jun1	S	soldiers, troops		
20992	刀	dao1	P	knife		
20992	刀	dao1	S	old coin		
20992	刀	dao1	A	measure		
21497	叹	tan4	P	sigh, admire		
22002	嗲	dia3	P	saliva		
22002	嗲	dia3	S	intensifying particle		
22002	嗲	dia3	A	inviting, coquettish		
22002	嗲	dia3	A	嗲哋. 'daddy'		
22103	噗	pu1	P	burst		
22406	垆	lu2	P	black clods of earth		
22406	垆	lu2	S	shop, hut		
22810	多	duo1	P	much, many		
22810	多	duo1	S	more than, over		
23012	姤	gou4	P	mate		
23012	姤	gou4	S	copulate		
23012	姤	gou4	A	good		
23012	姤	gou4	A	hexagram ䷫		
23113	婉	wan3	P	amiable, congenial		
23113	婉	wan3	S	restrained		
23517	寝	qin3	P	sleep, rest		
23517	寝	qin3	S	bed chamber		
23618	层	ceng2	P	story, layer, floor, stratum		
23820	崌	ju1	P	mountain name		
24123	帻	ze2	P	turban		
24123	帻	ze2	S	conical cap		
24224	庠	xiang2	P	village school		
24224	庠	xiang2	S	teach		
24426	彪	biao1	P	tiger		
24426	彪	biao1	S	tiger stripes		
24426	彪	biao1	A	tiger-like		
24527	忏	chan4	P	regret, repent		
24527	忏	chan4	S	confess sins		
25032	懈	xie4	P	idle, relaxed, remiss		
25133	戭	yan3	P	spear		
25234	抒	shu1	P	express		
25234	抒	shu1	S	eliminate		
25234	抒	shu1	A	relieve		
25335	拷	kao3	P	torture and interrogate		
25335	拷	kao3	S	hit		
25638	搦	nuo4	P	grasp, seize, take in hand		
25941	敕	chi4	P	an imperial order or decree		
26143	星	xing1	P	a star, planet		
26143	星	xing1	S	any point of light		
26143	星	xing1	A	25th lunar mansion, determinative star α Hydrae (Alphard)		
26244	暄	xuan1	P	warm, comfortable		
26244	暄	xuan1	S	warm, genial		
26345	曩	nang3	P	in ancient times, of old, former		
26446	李	li3	P	plum		
26446	李	li3	S	judge		
26547	枳	zhi3	P	trifoliate orange		
26547	枳	zhi3	S	hedge thorn		
26547	枳	zhi3	A	a plug		
27860	泔	gan1	P	water from washing rice to boil thick, as gruel		
27961	洹	huan2	P	river in Henan province		
28062	涞	lai2	P	river in Hebei province		
28062	涞	lai2	S	creek		
28365	滍	zhi4	P	place in Henan		
29577	玉	yu4	P	jade, precious stone, gem		
30183	痧	sha1	P	cholera		
30183	痧	sha1	S	colic		
30284	癌	ai2	P	cancer		
30284	癌	ai2	S	marmoset		
30385	皱	zhou4	P	wrinkles, creases, folds		
30789	硅	gui1	P	silicon (element 14, Si)		
31395	窣	su1	P	to rush out of a den		
31395	窣	su1	S	rustling, whispering		
31496	笈	ji2	P	bamboo box used carry books		
31900	粜	tiao4	P	sell grain		
32506	绺	liu3	P	skein		
32506	绺	liu3	S	tuft, lock		
32506	绺	liu3	A	wrinkle		
32607	罟	gu3	P	net		
32607	罟	gu3	S	snare		
32607	罟	gu3	A	pressure come or go		
32809	耩	jiang3	P	to plough. to sow		
33112	腘	guo2	P	hollow		
33314	舢	shan1	P	sampan		
33718	莶	xian1	P	vine		
34021	蓥	ying2	P	polish		
34122	蕊	rui3	P	unopened flowers, flower buds		
34223	薯	shu3	P	yam, tuber, potato		
34526	蛞	kuo4	P	snail		
34526	蛞	kuo4	S	slug, mole cricket		
34728	螨	man3	P	insect		
34930	衲	na4	P	mend, sew, patch		
34930	衲	na4	S	line		
34930	衲	na4	A	quilt		
35839	诿	wei3	P	pass buck, lay blame on others		
36142	贮	zhu4	P	store, stockpile, hoard		
36344	跸	bi4	P	clear way, make room for		
36344	跸	bi4	S	clear street when emperor tours		
36748	辌	liang2	P	a hearse		
36748	辌	liang2	S	a carriage		
37051	邻	lin2	P	neighbor		
37051	邻	lin2	S	neighborhood		
37152	鄠	hu4	P	county in Shanxi province		
37253	醅	pei1	P	unstrained spirits		
38061	钭	dou3	P	a wine flagon		
38162	锒	lang2	P	lock		
38768	靰	wu4	P	leg warmer		
39071	颟	man1	P	dawdling		
39071	颟	man1	S	thoughtless, careless		
39273	饩	xi4	P	sacrificial victim		
39273	饩	xi4	S	gift		
39273	饩	xi4	A	grain		
39576	骘	zhi4	P	stallion		
39576	骘	zhi4	S	promote		
39677	髽	zhua1	P	to dress the hair		
40081	鲑	gui1	P	salmon		
40081	鲑	gui1	S	Spheroides vermicularis		
40485	鸥	ou1	P	seagull, tern		
40485	鸥	ou1	S	Larus species (various)		
40687	黯	an4	P	dark, black		
40687	黯	an4	S	sullen, dreary		
181784	𬘘	dan3	P	a fringe		
