# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 19 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21734	哦	o2	QUEUED		ó é ò
26885	椅	yi3	QUEUED		yǐ yī
21128	劈	pi1	QUEUED		pī pǐ
34056	蔈	piao4	UNSEEDED	EMPTY	<no kDefinition>
32541	缝	feng4	QUEUED		fèng féng
27895	泷	long2	QUEUED		lóng shuāng
27491	正	zheng4	QUEUED		zhèng zhēng
26582	柖	shao2	UNSEEDED	EMPTY	<no kDefinition>
20219	任	ren4	QUEUED		rèn rén
21330	卒	zu2	QUEUED		zú cù
25774	撮	cuo1	QUEUED		cuō zuǒ
