# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 27 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21035	别	bie2	QUEUED		bié biè
22449	垱	dang4	UNSEEDED	VERBOSE, EMPTY	a dike used to divert water in a rice paddy or field for irrigation
23762	峒	dong4	QUEUED		dòng tóng
38407	阇	du1	QUEUED		dū shé
20429	俍	liang2	UNSEEDED	EMPTY	<no kDefinition>
28812	炌	kai4	UNSEEDED	EMPTY	<no kDefinition>
131428	𠅤	xi2	UNSEEDED	EMPTY	<no kDefinition>
26186	晊	zhi4	UNSEEDED	EMPTY	<no kDefinition>
26590	柞	zha4	QUEUED		zhà zuò
30125	疭	zong4	UNSEEDED	VERBOSE, EMPTY	spasms or convulsions in young children, caused by indigestion
