# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 40 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
30340	的	de0	QUEUED		de dī dí dì
23068	娜	na4	QUEUED		nà nuó
31552	筀	gui4	UNSEEDED	EMPTY	<no kDefinition>
164872	𨐈	guang1	UNSEEDED	EMPTY	<no kDefinition>
21654	咖	ka1	QUEUED		kā gā
177901	𫛭	kuang2	UNSEEDED	EMPTY	<no kDefinition>
22462	垾	han4	UNSEEDED	EMPTY	<no kDefinition>
21048	券	quan4	QUEUED		quàn xuàn
21553	吱	zhi1	QUEUED		zhī zī
180426	𬃊	zhi4	UNSEEDED	EMPTY	<no kDefinition>
