# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20065	乡	xiang1	P	country		
20065	乡	xiang1	S	rural		
20065	乡	xiang1	A	village		
20267	伫	zhu4	P	look towards		
20267	伫	zhu4	S	turn one's back on		
20469	俵	biao4	P	divide, distribute		
20570	做	zuo4	P	work, make		
20570	做	zuo4	S	act		
20873	冉	ran3	P	tender		
20873	冉	ran3	S	weak		
20873	冉	ran3	A	proceed gradually		
21277	匝	za1	P	full circle		
21277	匝	za1	S	encircle		
21378	厂	chang3	P	factory, workshop		
21378	厂	chang3	S	radical 27		
21681	咱	zan2	P	we, us		
21883	啻	chi4	P	only, merely		
21883	啻	chi4	S	just like		
21883	啻	chi4	A	stop at		
22489	埙	xun1	P	instrument		
22893	奭	shi4	P	red		
22893	奭	shi4	S	anger		
22893	奭	shi4	A	ire		
22994	姒	si4	P	wife of elder brother		
23398	学	xue2	P	learning, knowledge		
23398	学	xue2	S	school		
24408	彘	zhi4	P	swine		
24509	徽	hui1	P	a badge, insignia		
24812	惬	qie4	P	be satisfied, be comfortable		
24913	慑	she4	P	afraid, scared, fearful		
25216	技	ji4	P	skill, ability, talent, ingenuity		
25317	拥	yong1	P	embrace, hug, squeeze		
25317	拥	yong1	S	crowd		
25620	搔	sao1	P	to scratch		
25721	摹	mo2	P	trace, copy, duplicate		
25721	摹	mo2	S	pattern		
26731	桫	suo1	P	horse chestnut		
26832	棐	fei3	P	species of yew		
27135	槿	jin3	P	hibiscus		
27539	殓	lian4	P	dress corpse for burial		
27741	汝	ru3	P	you		
27842	泂	jiong3	P	clear and deep (of water)		
27842	泂	jiong3	S	wide		
27943	洧	wei3	P	name of a river in Honan		
28145	深	shen1	P	deep		
28145	深	shen1	S	depth		
28145	深	shen1	A	far		
28145	深	shen1	A	very, extreme		
28246	湖	hu2	P	a lake		
28246	湖	hu2	S	Hubei, Hunan		
28246	湖	hu2	A	bluish-green		
28347	溻	ta1	P	wet		
28448	漠	mo4	P	desert		
28448	漠	mo4	S	aloof, indifferent, cool		
28751	灏	hao4	P	vast, large, grand, expansive		
28953	焙	bei4	P	dry over slow fire		
28953	焙	bei4	S	bake		
28953	焙	bei4	A	roast		
29256	版	ban3	P	printing blocks		
29256	版	ban3	S	edition		
29761	瑁	mao4	P	fine piece of jade		
30165	痕	hen2	P	scar		
30165	痕	hen2	S	mark		
30165	痕	hen2	A	trace		
30468	眄	mian4	P	to look askance		
30468	眄	mian4	S	looking dull		
30872	碘	dian3	P	iodine (element 53, I)		
31074	祢	mi2	P	one's deceased father		
31074	祢	mi2	S	used as a synonym for 你 when referring to deity		
31377	窑	yao2	P	kiln		
31377	窑	yao2	S	coal mine pit		
31579	筛	shai1	P	sieve, filter, screen		
31579	筛	shai1	S	sift		
31983	糯	nuo4	P	glutinous rice		
31983	糯	nuo4	S	glutinous, sticky		
32488	绨	ti4	P	coarse pongee, kind of heavy silk		
32589	罍	lei2	P	large earthenware wine jar		
32690	羲	xi1	P	surname		
32791	耗	hao4	P	consume, use up		
32791	耗	hao4	S	waste, squander		
32993	胡	hu2	P	recklessly, foolishly		
32993	胡	hu2	S	wildly		
33094	腆	tian3	P	prosperous		
33094	腆	tian3	S	good		
33094	腆	tian3	A	protruding		
33296	舐	shi4	P	lick with tongue		
34003	蓓	bei4	P	bud		
34104	蔸	dou1	P	counter for plants		
34609	蜱	pi2	P	a tick, mite		
34912	衠	zhun1	P	pure, clean		
34912	衠	zhun1	S	simple		
35013	装	zhuang1	P	dress, clothes, attire		
35013	装	zhuang1	S	fill		
35821	语	yu3	P	language, words		
35821	语	yu3	S	saying, expression		
36225	趁	chen4	P	take advantage of, avail oneself		
36427	蹋	ta4	P	step on, tread on		
36427	蹋	ta4	S	stumble, slip		
36730	轺	yao2	P	small light carriage		
36831	迟	chi2	P	late, tardy		
36831	迟	chi2	S	slow		
36831	迟	chi2	A	delay		
36932	遄	chuan2	P	to hurry		
36932	遄	chuan2	S	to go to and fro		
38043	钛	tai4	P	titanium (element 22, Ti)		
38144	销	xiao1	P	melt, fuse		
38144	销	xiao1	S	market, sell		
38245	镥	lu3	P	lutetium (element 71, Lu)		
38548	隔	ge2	P	separate, partition		
38649	雹	bao2	P	hail		
38750	非	fei1	P	not, negative, non-		
38750	非	fei1	S	oppose		
39053	颍	ying3	P	river in Anhui		
39558	骆	luo4	P	a white horse with black mane		
39558	骆	luo4	S	a camel		
39659	髫	tiao2	P	children's hair style		
39659	髫	tiao2	S	a youngster		
40063	鱿	you2	P	cuttlefish		
40164	鳤	guan3	P	a kind of fish		
40164	鳤	guan3	S	with a long cylinder body		
40669	黝	you3	P	black		
183382	𬱖	di2	P	good and beautiful		
