# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 60 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
33087	脿	biao3	UNSEEDED	EMPTY	<no kDefinition>
21674	咪	mi1	QUEUED		mī mǐ
31572	答	da2	QUEUED		dá dā
29653	珕	li4	UNSEEDED	EMPTY	<no kDefinition>
33390	艮	gen3	QUEUED		gěn gèn
36824	还	hai2	QUEUED		hái huán
40561	鹱	hu4	UNSEEDED	EMPTY	<no kDefinition>
22280	圈	quan1	QUEUED		quān juān juàn
24906	慊	qian4	QUEUED		qiàn qiè
28744	灈	qu2	UNSEEDED	EMPTY	<no kDefinition>
