# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 36 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
27912	洈	wei2	UNSEEDED	EMPTY	<no kDefinition>
22458	垺	fu2	UNSEEDED	EMPTY	<no kDefinition>
24377	弹	dan4	QUEUED		dàn tán
23771	峛	lie4	UNSEEDED	EMPTY	<no kDefinition>
28316	溜	liu1	QUEUED		liū liù
31548	笼	long2	QUEUED		lóng lǒng
21246	勾	gou1	QUEUED		gōu gòu
21549	吭	keng1	QUEUED		kēng háng
21852	啜	chuai4	QUEUED		chuài chuò
26397	朝	chao2	QUEUED		cháo zhāo
28619	濋	chu3	UNSEEDED	EMPTY	<no kDefinition>
23569	少	shao3	QUEUED		shǎo shào
31245	稍	shao1	QUEUED		shāo shào
29730	琢	zuo2	QUEUED		zuó zhuó
