# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 61 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
28846	炮	pao4	QUEUED		pào bāo páo
38138	铺	pu4	QUEUED		pù pū
40562	鹲	meng2	UNSEEDED	EMPTY	<no kDefinition>
30058	番	fan1	QUEUED		fān pān
39552	骀	dai4	QUEUED		dài tái
33492	苔	tai2	QUEUED		tái tāi
156813	𦒍	tong2	UNSEEDED	EMPTY	<no kDefinition>
37027	那	na4	QUEUED		nà nā
33694	莞	guan3	QUEUED		guǎn wǎn
27230	橞	hui4	UNSEEDED	EMPTY	<no kDefinition>
27735	汗	han4	QUEUED		hàn hán
21170	劲	jin4	QUEUED		jìn jìng
36724	轴	zhou2	QUEUED		zhóu zhòu
20160	什	shen2	QUEUED		shén shí
