# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 1 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
32422	约	yue1	QUEUED		yuē yāo
32321	繁	fan2	QUEUED		fán pó
183114	𬭊	du4	UNSEEDED	EMPTY	<no kDefinition>
27877	泥	ni2	QUEUED		ní nì
26261	暕	jian3	UNSEEDED	EMPTY	<no kDefinition>
183720	𬶨	ji4	UNSEEDED	EMPTY	<no kDefinition>
22322	圲	qian1	UNSEEDED	EMPTY	<no kDefinition>
26059	旋	xuan2	QUEUED		xuán xuàn
24241	庱	cheng3	UNSEEDED	EMPTY	<no kDefinition>
31109	禅	chan2	QUEUED		chán shàn
