# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 69 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
152882	𥔲	e4	UNSEEDED	EMPTY	<no kDefinition>
183081	𬬩	yi4	UNSEEDED	EMPTY	<no kDefinition>
32793	耙	ba4	QUEUED		bà pá
21077	剕	fei4	UNSEEDED	VERBOSE, EMPTY	to cut off the feet (one of the five punishments in ancient times)
36934	遆	ti2	UNSEEDED	EMPTY	<no kDefinition>
25319	拧	ning2	QUEUED		níng nǐng nìng
23703	岗	gang3	QUEUED		gǎng gāng
39055	颏	ke1	QUEUED		kē ké
21683	咳	hai1	QUEUED		hāi ké
33904	葰	jun4	QUEUED		jùn suǒ
177021	𫍽	xuan1	UNSEEDED	EMPTY	<no kDefinition>
29763	瑃	chun1	UNSEEDED	EMPTY	<no kDefinition>
32995	胣	chi3	UNSEEDED	EMPTY	<no kDefinition>
