# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
15794	㶲	yong4	P	measuring unit for thermodynamics		
19733	䴕	lie4	P	a woodpecker		
20137	亩	mu3	P	Chinese land measure		
20137	亩	mu3	S	fields		
20238	伎	ji4	P	talent, skill, ability		
20339	佳	jia1	P	good, auspicious		
20339	佳	jia1	S	beautiful		
20339	佳	jia1	A	delightful		
20440	俘	fu2	P	prisoner of war		
20440	俘	fu2	S	take as prisoner		
20743	儇	xuan1	P	clever, nimble		
20844	公	gong1	P	fair, equitable		
20844	公	gong1	S	public		
20844	公	gong1	A	duke		
20945	凑	cou4	P	piece together, assemble		
21046	制	zhi4	P	system		
21046	制	zhi4	S	establish		
21046	制	zhi4	A	overpower		
21147	力	li4	P	power, capability, influence		
21248	匀	yun2	P	equal		
21450	及	ji2	P	extend		
21450	及	ji2	S	reach		
21450	及	ji2	A	come up to		
21450	及	ji2	A	and		
21551	启	qi3	P	open		
21551	启	qi3	S	begin, commence		
21551	启	qi3	A	explain		
22359	块	kuai4	P	piece, lump		
22359	块	kuai4	S	dollar		
22763	士	shi4	P	scholar, gentleman		
22763	士	shi4	S	soldier		
23167	婿	xu4	P	son-in-law		
23167	婿	xu4	S	husband		
24076	希	xi1	P	rare		
24076	希	xi1	S	hope, expect, strive for		
24278	廖	liao4	P	surname		
24278	廖	liao4	S	name of an ancient state		
24581	怅	chang4	P	disappointed, dissatisfied		
24682	恪	ke4	P	respectful, reverent		
24985	憙	xi3	P	like, love, enjoy		
24985	憙	xi3	S	joyful thing		
25187	扣	kou4	P	knock, strike, rap, tap		
25187	扣	kou4	S	button		
25288	拈	nian1	P	pick up with fingers		
25288	拈	nian1	S	draw lots		
25995	斋	zhai1	P	vegetarian diet		
25995	斋	zhai1	S	study		
26096	旰	gan4	P	sunset, dusk		
26096	旰	gan4	S	evening		
26500	构	gou4	P	frame, building, structure		
26601	柩	jiu4	P	coffin which contains corpse		
26702	桎	zhi4	P	fetters, shackles, handcuffs		
26803	梳	shu1	P	comb		
26803	梳	shu1	S	brush		
27207	橇	qiao1	P	a sledge for transportation		
27308	檬	meng2	P	type of locust tree or acacia		
27611	毛	mao2	P	hair, fur, feathers		
27611	毛	mao2	S	coarse		
27712	汀	ting1	P	sandbar, beach, bank, shore		
27813	沥	li4	P	trickle, drip		
27813	沥	li4	S	strain		
27813	沥	li4	A	dregs		
28015	浯	wu2	P	name of a river in Shandong		
29732	琤	cheng1	P	jade of jade being		
29732	琤	cheng1	S	tinkle		
29934	瓮	weng4	P	earthen jar		
29934	瓮	weng4	S	jar for ashes		
30136	疸	dan3	P	jaundice		
30136	疸	dan3	S	disorders of stomach		
30338	皂	zao4	P	soap		
30338	皂	zao4	S	black		
30338	皂	zao4	A	menial servant		
30742	砖	zhuan1	P	tile, brick		
31348	穴	xue2	P	cave, den, hole		
31449	站	zhan4	P	stand up		
31449	站	zhan4	S	a stand, station		
31550	笾	bian1	P	bamboo container for food		
31954	糒	bei4	P	food for a journey		
31954	糒	bei4	S	cakes		
32459	绋	fu2	P	large rope		
32459	绋	fu2	S	rope attached to bier		
32560	缰	jiang1	P	reins, bridle		
32661	羕	yang4	P	overflow		
32964	胄	zhou4	P	helmet, headpiece		
32964	胄	zhou4	S	descendant		
33065	脩	xiu1	P	dried meat (used as teachers payment in ancient times)		
33267	至	zhi4	P	reach, arrive		
33267	至	zhi4	S	extremely, very		
33368	艘	sou1	P	counter for ships, vessels		
33469	芽	ya2	P	bud, sprout, shoot		
33873	葑	feng1	P	the rape-turnip		
34479	蚯	qiu1	P	earthworm		
34883	衃	pei1	P	coagulated blood		
35792	诐	bi4	P	argue		
35792	诐	bi4	S	biased		
35792	诐	bi4	A	one-sided		
35893	谵	zhan1	P	talkative		
35893	谵	zhan1	S	incoherent talk		
36196	赤	chi4	P	red		
36196	赤	chi4	S	bare		
36398	踮	dian3	P	tiptoe		
36802	迂	yu1	P	doctrinaire, abstruse, unrealistic		
38115	铣	xi3	P	mill		
38216	镈	bo2	P	large bell		
38216	镈	bo2	S	hoe, spade		
38418	阒	qu4	P	alone		
38418	阒	qu4	S	quiet, still		
38519	陷	xian4	P	submerge, sink, plunge		
38519	陷	xian4	S	trap		
39125	飕	sou1	P	sound of wind		
39125	飕	sou1	S	blow chilly		
39630	髎	liao2	P	hip bone		
40135	鳇	huang2	P	sturgeon		
40539	鹛	mei2	P	babbler, Timaliidae species (various)		
40539	鹛	mei2	S	thrush		
40842	龊	chuo4	P	narrow, small		
40842	龊	chuo4	S	dirty		
166991	𨱏	da1	P	technetium (element 43, Tc)		
183555	𬴃	huo1	P	the sound of a knife cracking or breaking something		
183555	𬴃	huo1	S	suddenly		
