# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20043	之	zhi1	P	marks preceding phrase as modifier of following phrase		
20043	之	zhi1	S	it, him her, them		
20043	之	zhi1	A	go to		
20346	佺	quan2	P	fairy		
20649	傩	nuo2	P	rich		
20851	关	guan1	P	frontier pass		
20851	关	guan1	S	close		
20851	关	guan1	A	relation		
20952	凘	si1	P	ice floating in freshly-melted water		
21053	刽	gui4	P	amputate, cut off		
21154	劢	mai4	P	put forth effort, strive forward		
21356	卬	ang2	P	lofty		
21356	卬	ang2	S	high		
21356	卬	ang2	A	raise		
21356	卬	ang2	A	high-priced		
21659	咛	ning2	P	enjoin, instruct		
21659	咛	ning2	S	charge		
21861	啥	sha2	P	what?		
22265	囹	ling2	P	prison, enclosure		
22366	坞	wu4	P	entrenchment, bank, low wall		
22467	埃	ai1	P	fine dust, dirt		
22568	堨	e4	P	daub		
22871	套	tao4	P	case, cover, wrapper, envelope		
23174	媆	ruan3	P	young, tender, soft, delicate		
23275	嫫	mo2	P	Huangdi's ugly concubine		
23275	嫫	mo2	S	nurse		
23376	子	zi3	P	offspring, child		
23376	子	zi3	S	fruit, seed of		
23376	子	zi3	A	first earthly branch		
23477	宵	xiao1	P	night, evening, dark		
23578	尚	shang4	P	still, yet		
23578	尚	shang4	S	even		
23578	尚	shang4	A	fairly, rather		
23679	屿	yu3	P	island		
24184	幸	xing4	P	luck(ily), favor, fortunately		
25194	扪	men2	P	stoke, pat, feel by hand, grope		
26103	旷	kuang4	P	extensive, wide, broad		
26103	旷	kuang4	S	empty		
26406	朦	meng2	P	condition or appearance of moon		
26507	枋	fang1	P	sandalwood		
26507	枋	fang1	S	tree used as timber		
26608	柰	nai4	P	crab-apple tree		
26608	柰	nai4	S	endure, bear		
26709	桕	jiu4	P	tallow tree		
26911	椟	du2	P	cabinet, wardrobe		
26911	椟	du2	S	closet		
27012	榄	lan3	P	olive		
27719	汇	hui4	P	concourse		
27719	汇	hui4	S	flow together, gather		
27921	洑	fu2	P	whirlpool, undercurrent		
28325	溥	pu3	P	big, great, vast, wide		
28325	溥	pu3	S	widespread		
28729	瀹	yue4	P	to boil		
28729	瀹	yue4	S	to wash, to cleanse, to soak		
29032	煨	wei1	P	to stew, simmer		
29436	狼	lang2	P	wolf		
29739	琫	beng3	P	ornament		
29840	璐	lu4	P	beautiful variety of jade		
30042	畚	ben3	P	straw basket, hamper		
30244	瘤	liu2	P	tumor, lump, goiter		
30446	目	mu4	P	eye		
30446	目	mu4	S	look, see		
30446	目	mu4	A	division, topic		
30749	砝	fa3	P	balance weights		
31456	章	zhang1	P	composition		
31456	章	zhang1	S	chapter, section		
31557	筅	xian3	P	a bamboo brush		
31658	箪	dan1	P	small bamboo basket for holding		
31759	簏	lu4	P	a box, a basket		
31860	籴	di2	P	purchase grains		
31860	籴	di2	S	store grain		
31961	糙	cao1	P	coarse, harsh, rough, unpolished rice		
32466	绒	rong2	P	silk, cotton, or woolen fabric		
32769	老	lao3	P	old, aged		
32769	老	lao3	S	experienced		
33375	艟	chong1	P	ancient warship		
33476	苄	bian4	P	benzyl		
33981	蒽	en1	P	anthracene		
34183	薇	wei1	P	Osmunda regalis, a species of fern		
34385	虑	lü4	P	be concerned, worry about		
34486	蚶	han1	P	kind of clam, Arca inflata		
34789	蟥	huang2	P	leech		
34991	袯	bo2	P	raincoat		
35294	觞	shang1	P	wine vessel		
35294	觞	shang1	S	propose toast		
35294	觞	shang1	A	feast		
35799	诗	shi1	P	poetry		
35799	诗	shi1	S	poem, verse, ode		
36203	赫	he4	P	bright, radiant, glowing		
36304	跐	ci1	P	to trample, to step, to walk on the ball of the foot		
36405	踵	zhong3	P	heel		
36405	踵	zhong3	S	follow		
36405	踵	zhong3	A	visit, call on		
37011	邓	deng4	P	surname		
37112	郸	dan1	P	county in Hebei province		
37213	酝	yun4	P	liquor, spirits, wine		
37213	酝	yun4	S	ferment		
38122	铪	ha1	P	hafnium (element 72, Hf)		
38829	鞭	bian1	P	whip		
38829	鞭	bian1	S	string of firecrackers		
39031	顷	qing3	P	a moment		
39031	顷	qing3	S	a measure of area equal to 100 mu or 6.7 hectares		
39031	顷	qing3	A	to lean		
39536	驰	chi2	P	go quickly or swiftly		
39536	驰	chi2	S	hurry		
40142	鳎	ta3	P	sole		
40546	鹢	yi4	P	fishhawk bow or prow		
40647	黇	tian1	P	fallow deer (Dama dama)		
40748	鼬	you4	P	weasel, Mustela itatsi		
157302	𦙶	gu3	P	thighs, rump, leg		
157302	𦙶	gu3	S	division		
157302	𦙶	gu3	A	share of stock		
176896	𫌀	ji1	P	a pleat, fold, tuck, crease		
177401	𫓹	ji1	P	hoe		
177704	𫘨	ti2	P	a horse, mule		
