# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 88 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
23217	媱	yao2	UNSEEDED	EMPTY	<no kDefinition>
28065	涡	wo1	QUEUED		wō guō
32610	罢	ba4	QUEUED		bà ba
33317	舥	pa1	UNSEEDED	EMPTY	<no kDefinition>
29782	瑖	duan4	UNSEEDED	EMPTY	<no kDefinition>
24530	忒	tui1	FLAGGED	TRUNCATED	excessive; too; very-usually of objectionable things; to err; to mistake; changeable
20389	侥	jiao3	QUEUED		jiǎo yáo
28267	湫	jiao3	QUEUED		jiǎo qiū
182494	𬣞	zhu3	UNSEEDED	EMPTY	<no kDefinition>
23116	婌	shu2	UNSEEDED	EMPTY	<no kDefinition>
20692	僔	zun3	UNSEEDED	EMPTY	<no kDefinition>
