# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 96 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
33325	舭	bi3	UNSEEDED	EMPTY	<no kDefinition>
29285	牥	fang1	UNSEEDED	EMPTY	<no kDefinition>
34436	蚄	fang1	UNSEEDED	EMPTY	<no kDefinition>
20498	倒	dao4	QUEUED		dào dǎo
29487	猯	tuan1	UNSEEDED	EMPTY	<no kDefinition>
30295	癗	lei3	UNSEEDED	EMPTY	<no kDefinition>
179068	𫭼	lao2	UNSEEDED	EMPTY	<no kDefinition>
26356	更	geng4	QUEUED		gèng gēng
30699	矫	jiao3	QUEUED		jiǎo jiáo
21306	区	qu1	QUEUED		qū ōu
40092	鲜	xian1	QUEUED		xiān xiǎn
26962	楒	si1	UNSEEDED	EMPTY	<no kDefinition>
