# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 0 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
38481	陑	er2	UNSEEDED	EMPTY	<no kDefinition>
23735	岷	min2	UNSEEDED	VERBOSE, EMPTY	Minshan mountain range in northern Sichuan and southern Gansu, Min River
27169	模	mo2	QUEUED		mó mú
26563	柃	ling2	UNSEEDED	EMPTY	<no kDefinition>
39289	饹	le0	QUEUED		le gē
39592	骨	gu3	QUEUED		gǔ gū
21917	喝	he1	QUEUED		hē hè
36158	贾	jia3	QUEUED		jiǎ gǔ
25250	抢	qiang3	QUEUED		qiǎng qiāng
33128	腨	shuan4	UNSEEDED	EMPTY	<no kDefinition>
