# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
19736	䴘	ti1	P	grebe		
20140	京	jing1	P	capital city		
20241	休	xiu1	P	rest, stop		
20241	休	xiu1	S	retire		
20241	休	xiu1	A	do not!		
20342	佶	ji2	P	strong, robust		
20342	佶	ji2	S	exact, correct		
20645	傥	tang3	P	if, supposing, in case		
21150	办	ban4	P	manage, do, handle		
21150	办	ban4	S	deal with		
21453	反	fan3	P	reverse, opposite, contrary, anti		
21554	吲	yin3	P	smile at		
21554	吲	yin3	S	sneer at		
21756	哼	heng1	P	hum		
21756	哼	heng1	S	sing softly		
21756	哼	heng1	A	groan, moan		
21756	哼	heng1	A	an interjecting indicating disapproval		
21857	啡	fei1	P	morphine		
21857	啡	fei1	S	coffee		
22261	囵	lun2	P	all, complete, entire		
22362	坚	jian1	P	hard, strong, firm		
22362	坚	jian1	S	resolute		
22564	堤	di1	P	dike		
22665	墉	yong1	P	wall		
22665	墉	yong1	S	fortified wall		
22665	墉	yong1	A	small wall		
22766	壮	zhuang4	P	big, large		
22766	壮	zhuang4	S	robust		
22867	奓	zha1	P	extravagant		
23574	尖	jian1	P	sharp, pointed, acute, keen		
24079	帏	wei2	P	curtain that forms wall		
24180	年	nian2	P	year		
24180	年	nian2	S	new-years		
24180	年	nian2	A	person's age		
24281	廙	yi4	P	respectful		
24685	恭	gong1	P	respectful, polite, reverent		
25190	扦	qian1	P	probe, poke, prick, pierce		
26503	枇	pi2	P	loquat		
26604	柬	jian3	P	letter, invitation		
26604	柬	jian3	S	choose		
26705	桑	sang1	P	mulberry tree		
27513	歹	dai3	P	bad, vicious, depraved, wicked		
27816	沨	feng1	P	pleasant sound		
28220	渼	mei3	P	ripples		
28422	漆	qi1	P	varnish, lacquer, paint		
29028	煤	mei2	P	coal, coke, charcoal, carbon		
29432	狸	li2	P	fox		
29634	珂	ke1	P	inferior kind of jade		
30240	瘠	ji2	P	thin, emaciated		
30240	瘠	ji2	S	barren		
31048	祈	qi2	P	pray		
31048	祈	qi2	S	entreat, beseech		
31351	穷	qiong2	P	poor, destitute, impoverished		
31654	箦	ze2	P	bed mat		
31654	箦	ze2	S	mat		
31957	糕	gao1	P	cakes, pastry		
32462	绎	yi4	P	to unravel or unreel silk		
32462	绎	yi4	S	to interpret		
32563	缳	huan2	P	noose		
32563	缳	huan2	S	hang death		
32563	缳	huan2	A	tie, bind		
33068	脬	pao1	P	a bladder		
33169	膑	bin4	P	the kneecap		
33977	蒹	jian1	P	reed, Phragmites communis		
34280	藨	biao1	P	raspberry, gooseberry		
34583	蜗	wo1	P	a snail, Eulota callizoma		
34684	蝼	lou2	P	a mole cricket, Gryllotalpa africana		
34987	被	bei4	P	passive indicator 'by'		
34987	被	bei4	S	bedding		
35088	褐	he4	P	coarse woolen cloth		
35088	褐	he4	S	dull, dark		
35290	觚	gu1	P	jug, winecup, goblet		
35290	觚	gu1	S	square		
35795	诓	kuang1	P	cheat, swindle, lie		
36199	赧	nan3	P	blush, turn red		
36300	跌	die1	P	stumble, slip, fall down		
36300	跌	die1	S	stamp		
36401	踱	duo2	P	stroll, pace, walk slowly		
36805	迅	xun4	P	quick, hasty, rapid, sudden		
37108	郴	chen1	P	county in Hunan province		
37310	醾	mi2	P	a kind of liquor		
38219	镋	tang3	P	ancient weapon resembling a pitchfork		
38421	阕	que4	P	close, shut		
38421	阕	que4	S	watch tower		
39128	飘	piao1	P	whirlwind, cyclone		
39128	飘	piao1	S	floating		
39532	马	ma3	P	horse		
39633	髑	du2	P	skull		
40138	鳊	bian1	P	bream		
40542	鹞	yao4	P	sparrow hawk		
40542	鹞	yao4	S	kite shaped like		
