# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 3 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
34444	蚌	bang4	QUEUED		bàng bèng
36767	辟	pi4	QUEUED		pì bì
21516	同	tong2	QUEUED		tóng tòng
20102	了	le0	QUEUED		le liǎo
28586	澪	ling2	UNSEEDED	EMPTY	<no kDefinition>
28889	烙	lao4	QUEUED		lào luò
37070	郎	lang2	QUEUED		láng làng
181399	𬒗	lan2	UNSEEDED	EMPTY	<no kDefinition>
20910	冮	gang1	UNSEEDED	EMPTY	<no kDefinition>
21617	呱	gu1	QUEUED		gū guā
22425	垙	guang1	UNSEEDED	EMPTY	<no kDefinition>
30707	石	shi2	QUEUED		shí dàn
