# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 94 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
34737	螱	wei4	UNSEEDED	EMPTY	<no kDefinition>
34434	蚂	ma3	QUEUED		mǎ mà
23425	宁	ning2	QUEUED		níng nìng
22415	垏	lü4	UNSEEDED	EMPTY	<no kDefinition>
24738	悢	liang4	UNSEEDED	EMPTY	<no kDefinition>
28475	漻	liao2	UNSEEDED	EMPTY	<no kDefinition>
31606	筶	gao4	UNSEEDED	EMPTY	<no kDefinition>
29586	玒	hong2	UNSEEDED	EMPTY	<no kDefinition>
26354	曲	qu1	QUEUED		qū qǔ
26657	校	xiao4	QUEUED		xiào jiào
