# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 85 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
19982	与	yu3	QUEUED		yǔ yù
21093	剥	bo1	QUEUED		bō bāo
21699	哃	tong2	UNSEEDED	EMPTY	<no kDefinition>
22507	埫	tang3	UNSEEDED	EMPTY	<no kDefinition>
33617	荑	ti2	QUEUED		tí yí
29779	瑓	lian4	UNSEEDED	EMPTY	<no kDefinition>
33011	胳	ge1	QUEUED		gē gé
34425	虹	hong2	QUEUED		hóng jiàng
20285	伽	jia1	QUEUED		jiā gā qié
22204	嚼	jue2	QUEUED		jué jiáo jiào
29274	牚	cheng4	UNSEEDED	EMPTY	<no kDefinition>
183097	𬬹	shen2	UNSEEDED	EMPTY	<no kDefinition>
