# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 34 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
27809	没	mei2	QUEUED		méi mò
183551	𬳿	tu2	UNSEEDED	EMPTY	<no kDefinition>
23163	婻	nan4	UNSEEDED	EMPTY	<no kDefinition>
21345	卡	ka3	QUEUED		kǎ qiǎ
34576	蜐	jie2	UNSEEDED	EMPTY	<no kDefinition>
30940	磜	qi4	UNSEEDED	EMPTY	<no kDefinition>
26294	暶	xuan2	UNSEEDED	EMPTY	<no kDefinition>
23769	峙	zhi4	QUEUED		zhì shì
24981	憕	cheng2	UNSEEDED	EMPTY	<no kDefinition>
26597	查	cha2	QUEUED		chá zhā
183955	𬺓	chu3	UNSEEDED	EMPTY	<no kDefinition>
