# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 63 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
30969	磹	tan2	UNSEEDED	EMPTY	<no kDefinition>
26424	朸	li4	UNSEEDED	EMPTY	<no kDefinition>
26727	桧	gui4	QUEUED		guì huì
136211	𡐓	kang1	UNSEEDED	EMPTY	<no kDefinition>
40160	鳠	hu4	UNSEEDED	EMPTY	<no kDefinition>
20465	俱	ju4	QUEUED		jù jū
39049	颉	jie2	QUEUED		jié xié
25111	戗	qiang1	QUEUED		qiāng qiàng
30363	皛	xiao3	UNSEEDED	EMPTY	<no kDefinition>
22788	处	chu4	QUEUED		chù chǔ
38241	镡	chan2	QUEUED		chán tán
21273	匙	shi0	QUEUED		shi chí
