# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 46 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
39335	馧	yun1	UNSEEDED	EMPTY	<no kDefinition>
32972	背	bei4	QUEUED		bèi bēi
183765	𬷕	bu3	UNSEEDED	EMPTY	<no kDefinition>
36305	跑	pao3	QUEUED		pǎo páo
30952	磨	mo2	QUEUED		mó mò
28831	炟	da2	UNSEEDED	EMPTY	<no kDefinition>
38123	铫	diao4	QUEUED		diào yáo
21862	啦	la0	QUEUED		la lā
28427	漋	long2	UNSEEDED	EMPTY	<no kDefinition>
29134	燎	liao2	QUEUED		liáo liǎo
25094	戆	gang4	QUEUED		gàng zhuàng
22771	壳	ke2	QUEUED		ké qiào
35295	觟	hua4	UNSEEDED	EMPTY	<no kDefinition>
23478	家	jia1	QUEUED		jiā jia
32467	结	jie2	QUEUED		jié jiē
30851	碃	qing4	UNSEEDED	EMPTY	<no kDefinition>
20852	兴	xing4	QUEUED		xìng xīng
22872	奘	zang4	QUEUED		zàng zhuǎng
29639	珇	zu3	UNSEEDED	EMPTY	<no kDefinition>
25195	扫	sao3	QUEUED		sǎo sào
