# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 98 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
32822	耶	ye2	QUEUED		yé yē
34438	蚆	ba1	UNSEEDED	EMPTY	<no kDefinition>
23631	屏	ping2	QUEUED		píng bǐng
27873	泡	pao4	QUEUED		pào pāo
22823	大	da4	QUEUED		dà dài
28075	涫	guan4	UNSEEDED	EMPTY	<no kDefinition>
20399	侯	hou2	QUEUED		hóu hòu
20500	倔	jue2	QUEUED		jué juè
27974	浆	jiang1	QUEUED		jiāng jiàng
31105	禁	jin4	QUEUED		jìn jīn
33327	舯	zhong1	UNSEEDED	EMPTY	<no kDefinition>
38478	陎	shu1	UNSEEDED	EMPTY	<no kDefinition>
33226	臊	sao1	QUEUED		sāo sào
