# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 28 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
20026	为	wei4	QUEUED		wèi wéi
23561	尉	wei4	QUEUED		wèi yù
182535	𬤇	yin1	UNSEEDED	EMPTY	<no kDefinition>
23258	嫚	man1	QUEUED		mān màn
39317	馕	nang2	QUEUED		náng nǎng
33055	脟	lie4	UNSEEDED	EMPTY	<no kDefinition>
26692	桄	guang1	QUEUED		guāng guàng
20127	亟	ji2	QUEUED		jí qì
25379	挣	zheng1	QUEUED		zhēng zhèng
35782	识	shi2	QUEUED		shí zhì
