# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
19968	一	yi1	P	one		
19968	一	yi1	S	a, an		
19968	一	yi1	A	alone		
20170	今	jin1	P	now, today, modern era		
20372	侔	mou2	P	equal		
20877	再	zai4	P	again, twice, re-		
21180	劼	jie2	P	be discreet, prudent, cautious		
21281	匡	kuang1	P	correct, restore, revise		
21382	历	li4	P	history		
21382	历	li4	S	calendar		
21483	叫	jiao4	P	cry, shout		
21483	叫	jiao4	S	hail, greet, call		
21584	呐	na4	P	raise voice, yell out loud, shout		
21584	呐	na4	S	stammer		
21988	嗤	chi1	P	laugh at, ridicule, sneer		
21988	嗤	chi1	S	snort		
22493	埝	nian4	P	bank, dike		
22493	埝	nian4	S	protuberance from		
23402	孪	luan2	P	twins		
23604	尴	gan1	P	embarrassed		
23604	尴	gan1	S	ill at ease		
23705	岙	ao4	P	island		
24109	席	xi2	P	seat		
24109	席	xi2	S	mat		
24109	席	xi2	A	take seat		
24109	席	xi2	A	banquet		
24311	廷	ting2	P	court		
24614	怦	peng1	P	eager, ardent, impulsive		
24614	怦	peng1	S	anxious		
24816	惰	duo4	P	indolent, careless, lazy, idle		
24917	慕	mu4	P	long for, desire		
24917	慕	mu4	S	admire		
25018	憺	dan4	P	peace		
25119	戟	ji3	P	halberd with crescent blade		
25220	抄	chao1	P	copy, confiscate, seize		
25523	掳	lu3	P	capture, seize		
25725	摽	biao4	P	throw out		
25725	摽	biao4	S	push out		
25725	摽	biao4	A	strike		
25826	擢	zhuo2	P	pull up, draw up		
25826	擢	zhuo2	S	select		
26230	晶	jing1	P	crystal		
26230	晶	jing1	S	clear, bright		
26230	晶	jing1	A	radiant		
26331	曛	xun1	P	twilight		
26331	曛	xun1	S	sunset		
26432	杀	sha1	P	kill, slaughter, murder		
26432	杀	sha1	S	hurt		
26533	枥	li4	P	type of oak		
26533	枥	li4	S	stable		
26634	栊	long2	P	cage, pen		
