# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 4 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
180693	𬇕	wan4	UNSEEDED	EMPTY	<no kDefinition>
25153	扁	bian3	QUEUED		biǎn piān
20204	们	men0	QUEUED		men mén
34849	蠡	li2	QUEUED		lí lǐ
157564	𦝼	lü2	QUEUED		lǘ lóu
21719	哗	hua1	QUEUED		huā huá
32728	翘	qiao4	QUEUED		qiào qiáo
33637	荥	xing2	QUEUED		xíng yíng
29799	瑧	zhen1	UNSEEDED	EMPTY	<no kDefinition>
35960	豸	zhi4	QUEUED		zhì zhài
