# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20320	你	ni3	P	you, second person pronoun		
20421	俅	qiu2	P	ornamental cap		
20522	倪	ni2	P	feeble, tiny, young and weak		
22239	囟	xin4	P	top of the head		
22239	囟	xin4	S	skull		
22441	垩	e4	P	holy, sacred, sage		
22441	垩	e4	S	simplification of 堊 chalk		
22441	垩	e4	A	daub with chalk		
22542	堎	leng4	P	a place in Xīnjiàn county, Jiāngxī		
23047	娇	jiao1	P	seductive and loveable		
23047	娇	jiao1	S	tender		
23451	宛	wan3	P	seem, as if, crooked		
23653	履	lü3	P	footwear, shoes		
23653	履	lü3	S	walk on, tread		
23653	履	lü3	A	hexagram ䷉		
24158	幞	fu2	P	turban		
24360	弨	chao1	P	bow		
24764	悼	dao4	P	grieve, mourn, lament		
24764	悼	dao4	S	grieved		
25269	抵	di3	P	resist, oppose		
25269	抵	di3	S	deny		
25269	抵	di3	A	off-set		
25370	挚	zhi4	P	sincere, warm, cordial		
26279	暧	ai4	P	obscure, dim, ambiguous, vague		
26683	栻	shi4	P	tree		
26784	梠	lü3	P	a small beam supporting the rafters at the eaves		
26986	楪	die2	P	small dish		
26986	楪	die2	S	window		
27996	浜	bang1	P	creek, stream		
27996	浜	bang1	S	beach, sea coast		
28905	烩	hui4	P	ragout, cook, braise		
29006	煎	jian1	P	fry in fat or oil		
29006	煎	jian1	S	boil in water		
29814	瑶	yao2	P	precious jade		
30016	畀	bi4	P	to give		
30117	疥	jie4	P	scabies, itch		
30218	瘊	hou2	P	warts, pimples		
30319	癯	qu2	P	thin, emaciated		
30319	癯	qu2	S	worn, tired		
30420	盔	kui1	P	helmet		
30420	盔	kui1	S	bowl		
30420	盔	kui1	A	basin		
31531	笫	zi3	P	bed boards, sleeping mat		
31632	箐	qing4	P	to draw a bamboo bow or crossbow		
31935	粿	guo3	P	rice cake		
32440	纸	zhi3	P	paper		
32844	职	zhi2	P	duty, profession		
32844	职	zhi2	S	office, post		
32945	肱	gong1	P	forearm		
33046	脖	bo2	P	neck		
33147	腻	ni4	P	greasy, oily, dirty		
33147	腻	ni4	S	smooth		
33349	艅	yu2	P	a despatch boat		
33450	芪	qi2	P	celery		
33551	茏	long2	P	tall grass		
33551	茏	long2	S	water-weeds		
34460	蚜	ya2	P	plant louse, aphids		
34763	蟋	xi1	P	cricket		
35167	襟	jin1	P	lapel, collar		
35268	规	gui1	P	rules, regulations, customs, law		
35773	讽	feng3	P	recite, incant		
35773	讽	feng3	S	satirize		
35874	谢	xie4	P	thank		
35874	谢	xie4	S	decline		
36177	赑	bi4	P	strong		
36884	途	tu2	P	way, road, path, journey		
36884	途	tu2	S	course		
36985	遹	yu4	P	comply with, obey		
36985	遹	yu4	S	shun, avoid		
37187	酃	ling2	P	a county in Hunan		
37288	醨	li2	P	dregs of wine		
37995	鑫	xin1	P	used in names		
38096	铐	kao4	P	shackles, manacles		
38197	锵	qiang1	P	tinkle, clang, jingle		
38399	闿	kai3	P	open		
38399	闿	kai3	S	peaceful		
38500	除	chu2	P	eliminate, remove, except		
38601	雉	zhi4	P	pheasant		
38601	雉	zhi4	S	crenellated wall		
39308	馌	ye4	P	carry meal to workers in field		
40116	鲴	gu4	P	fish guts		
40520	鹈	ti2	P	pelican		
40722	鼒	zi1	P	large tripod caldron with small mouth		
