# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20108	二	er4	P	two		
20108	二	er4	S	twice		
20613	傅	fu4	P	tutor, teacher		
20613	傅	fu4	S	assist		
21017	则	ze2	P	rule, law, regulation		
21017	则	ze2	S	grades		
21320	午	wu3	P	seventh earthly branch		
21522	吒	zha1	P	shout, roar, bellow		
21522	吒	zha1	S	scold		
21623	呷	xia1	P	suck, swallow, drink		
22431	垟	yang2	P	a cultivated field		
22936	妘	yun2	P	surname		
23037	姽	gui3	P	good		
23138	婢	bi4	P	servant girl		
23138	婢	bi4	S	your servant		
23340	嬬	ru2	P	mistress, concubine		
23340	嬬	ru2	S	weak		
24047	巯	qiu2	P	an atom group		
24148	幔	man4	P	curtain, screen, tent		
24249	庹	tuo3	P	the length of one's two outstretched arms		
24653	恍	huang3	P	seemingly		
24653	恍	huang3	S	absent-minded		
24754	悲	bei1	P	sorrow, grief		
24754	悲	bei1	S	sorry, sad		
25158	扆	yi3	P	screen		
25259	披	pi1	P	wear		
25259	披	pi1	S	split		
25259	披	pi1	A	crack		
25764	撤	che4	P	omit		
25764	撤	che4	S	remove		
25764	撤	che4	A	withdraw		
25865	攉	huo1	P	to beckon		
25865	攉	huo1	S	to urge		
26269	暝	ming2	P	dark, obscure		
26471	杧	mang2	P	mango (Mangifera indica)		
26875	棻	fen1	P	kind of wood from which perfume is made		
26976	楠	nan2	P	name of tree, Machilus nanmu		
27481	歙	she4	P	to suck		
27481	歙	she4	S	a county's name in anhui		
27784	沈	shen3	P	sink, submerge		
27784	沈	shen3	S	addicted to		
28289	溁	ying2	P	a stream, eddy		
28289	溁	ying2	S	to eddy		
28390	滦	luan2	P	river and county in Hebei province		
28491	潋	lian4	P	waves, ripples		
28491	潋	lian4	S	overflow		
28895	烟	yan1	P	smoke, soot		
28895	烟	yan1	S	opium		
28895	烟	yan1	A	tobacco, cigarettes		
29703	琇	xiu4	P	coarse variety of jasper or jade		
30208	瘀	yu1	P	a hematoma, contusion		
30208	瘀	yu1	S	extravasated blood		
30410	益	yi4	P	profit, benefit		
30410	益	yi4	S	advantage		
30410	益	yi4	A	hexagram ䷩		
31319	穗	sui4	P	ear of grain		
31319	穗	sui4	S	tassel		
31319	穗	sui4	A	Guangzhou		
32430	纮	hong2	P	string		
32430	纮	hong2	S	vast, expansive		
32531	缓	huan3	P	slow, leisurely		
32531	缓	huan3	S	to postpone, delay		
32834	聂	nie4	P	whisper		
33137	腱	jian4	P	tendons		
33339	舻	lu2	P	bow or prow of boat		
33541	茅	mao2	P	reeds, rushes, grass		
33642	荪	sun1	P	aromatic grass		
33642	荪	sun1	S	iris, flower		
33743	菏	he2	P	river in Shandong province		
34955	袋	dai4	P	pocket, bag, sack, pouch		
35056	裰	duo1	P	to mend clothes		
35157	襕	lan2	P	a one-piece garment		
35763	讳	hui4	P	conceal		
35763	讳	hui4	S	shun		
35763	讳	hui4	A	regard as taboo		
36167	赇	qiu2	P	bribe		
36874	逊	xun4	P	humble, modest		
36874	逊	xun4	S	yield		
37177	鄹	zou1	P	name of an ancient state in modern Shandong		
37177	鄹	zou1	S	surname		
38086	铆	mao3	P	rivet		
38187	锫	pei2	P	berkelium (element 97, Bk)		
38389	闵	min3	P	mourn, grieve		
38389	闵	min3	S	urge on, incite		
40510	鸾	luan2	P	fabulous bird		
144843	𣗋	dang3	P	a cross-piece, as the round of a ladder, the rail of a chair		
144843	𣗋	dang3	S	shelves		
144843	𣗋	dang3	A	pigeonholes		
180900	𬊤	chan3	P	to make a fire		
180900	𬊤	chan3	S	blaze		
