# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
17394	䏲	ti1	P	protruded bones		
17394	䏲	ti1	S	swelling, a crooked nose		
19616	䲠	chun1	P	Chinese mackerel, Chinese seerfish (Scomberomorus sinensis)		
20020	临	lin2	P	draw near, approach		
20020	临	lin2	S	descend		
20525	倭	wo1	P	dwarf		
20525	倭	wo1	S	dwarfish, short		
20626	傒	xi1	P	personal name		
20626	傒	xi1	S	servant		
20828	兜	dou1	P	pouch		
21232	勰	xie2	P	peaceful, harmonious		
21535	吟	yin2	P	sing, hum		
21535	吟	yin2	S	recite		
21535	吟	yin2	A	type of poetry		
21636	咄	duo1	P	noise of rage, cry out in anger		
22242	团	tuan2	P	sphere, ball, circle		
22242	团	tuan2	S	mass, lump		
22343	均	jun1	P	equal, even, fair		
22343	均	jun1	S	all, also		
22545	堑	qian4	P	moat, trench, pit, cavity		
22949	妥	tuo3	P	satisfactory, appropriate		
23252	嫔	pin2	P	court lady		
23252	嫔	pin2	S	palace maid		
23454	实	shi2	P	real, true		
23454	实	shi2	S	honest, sincere		
24161	幡	fan1	P	pennant, banner, streamer, flag		
24262	廆	wei3	P	a room		
24262	廆	wei3	S	the wall of a house a man's name		
24464	徐	xu2	P	slowly, quietly, calmly		
24464	徐	xu2	S	composed, dignified		
24565	念	nian4	P	think of, recall, study		
24666	恚	hui4	P	anger, rage		
24868	愤	fen4	P	resent, hate		
24868	愤	fen4	S	indignant		
25373	挝	wo1	P	to beat		
25373	挝	wo1	S	to strike		
25474	掂	dian1	P	heft, hold or weigh in palm		
26181	晅	xuan3	P	light of the sun		
26181	晅	xuan3	S	to dry in the sun		
26383	朏	fei3	P	light of crescent moon		
26585	柙	xia2	P	cage, pen for wild animals		
26686	栾	luan2	P	a part of cornice		
27494	武	wu3	P	military		
27494	武	wu3	S	martial, warlike		
27595	毋	wu2	P	do not		
27595	毋	wu2	S	not		
27595	毋	wu2	A	rad. 80		
27696	氰	qing2	P	cyanogen		
27696	氰	qing2	S	ethane dinitrile		
27898	泺	luo4	P	river in Shandong province		
28100	淄	zi1	P	river in Shandong province		
28201	温	wen1	P	lukewarm		
28504	潘	pan1	P	water in which rice has been rinsed		
28504	潘	pan1	S	a river that flows into the Han		
28605	澽	ju4	P	a river in Shaanxi		
28908	烬	jin4	P	cinders, ashes, embers		
28908	烬	jin4	S	remnants		
29312	犀	xi1	P	rhinoceros		
29312	犀	xi1	S	sharp, well-tempered		
29615	环	huan2	P	jade ring or bracelet		
29615	环	huan2	S	ring		
29918	瓞	die2	P	young melons just forming		
30423	盗	dao4	P	rob, steal		
30423	盗	dao4	S	thief, bandit		
30524	眼	yan3	P	eye		
30524	眼	yan3	S	eyelet, hole, opening		
30726	砆	fu1	P	semiprecious stone, agate		
30827	硫	liu2	P	sulfur (element 16, S)		
30928	磐	pan2	P	large rock, boulder		
30928	磐	pan2	S	firm		
31029	礵	shuang1	P	name of an island in Fujian province		
31130	禚	zhuo2	P	surname		
31635	箓	lu4	P	book		
32039	紧	jin3	P	tense, tight, taut		
32039	紧	jin3	S	firm, secure		
32443	纻	zhu4	P	ramie		
32443	纻	zhu4	S	sack cloth		
32544	缠	chan2	P	wrap, wind around		
32544	缠	chan2	S	tie, bind		
32948	肴	yao2	P	cooked or prepared meat		
33150	腾	teng2	P	fly		
33150	腾	teng2	S	gallop		
33150	腾	teng2	A	run		
33150	腾	teng2	A	prance		
33150	腾	teng2	A	rise		
33251	臣	chen2	P	minister, statesman, official		
33453	芭	ba1	P	plantain or banana palm		
33453	芭	ba1	S	fragrant		
33756	菜	cai4	P	vegetables		
33756	菜	cai4	S	dish, order		
33756	菜	cai4	A	food		
34160	蕰	wen1	P	the hippuris or mare's tail plant		
34261	藕	ou3	P	lotus root		
35271	觇	chan1	P	peek		
35271	觇	chan1	S	spy on, watch		
35271	觇	chan1	A	investigate		
35776	诀	jue2	P	take leave of, bid farewell		
35877	谥	shi4	P	to confer posthumous titles		
35978	貊	mo4	P	leopard		
35978	貊	mo4	S	ancient tribe in northeastern China		
36180	赔	pei2	P	indemnify, suffer loss		
36382	踞	ju4	P	crouch, squat		
36382	踞	ju4	S	sit, occupy		
36887	逗	dou4	P	tempt, allure, arouse, stir		
37089	郡	jun4	P	administrative division		
37190	酆	feng1	P	Zhou-era state in modern Sichuan		
38200	锸	cha1	P	spade, shovel		
38200	锸	cha1	S	marking pin		
38402	阂	he2	P	blocked or separated		
38402	阂	he2	S	to prevent		
38503	陧	nie4	P	in disorder		
38604	雌	ci2	P	female		
38604	雌	ci2	S	feminine		
38604	雌	ci2	A	gentle, soft		
39715	鬣	lie4	P	horse's mane		
39715	鬣	lie4	S	fin		
39715	鬣	lie4	A	human whiskers		
40119	鲷	diao1	P	Pagrosomus major, porgy		
40523	鹋	miao2	P	emu		
174045	𪟝	ji4	P	achievements, conduct deserving		
178186	𫠊	xuan2	P	an one-year-old horse, a black horse		
