# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 39 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
28521	潩	yi4	UNSEEDED	EMPTY	<no kDefinition>
33470	芾	fei4	QUEUED		fèi fú
25289	拉	la1	QUEUED		lā lá
25794	擂	lei2	QUEUED		léi lèi
28016	浰	lian4	QUEUED		liàn lì
24178	干	gan4	QUEUED		gàn gān
33167	膏	gao1	QUEUED		gāo gào
17411	䐃	jun4	UNSEEDED	VERBOSE, EMPTY	fat in the abdomen or intestine, protuberances of the muscle, a fetus inside the belly
26501	枅	ji1	UNSEEDED	EMPTY	<no kDefinition>
21047	刷	shua1	QUEUED		shuā shuà
