# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 35 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
27103	槟	bin1	QUEUED		bīn bīng
30335	癿	bie2	UNSEEDED	EMPTY	<no kDefinition>
25285	担	dan1	QUEUED		dān dàn
32759	翷	lin2	UNSEEDED	EMPTY	<no kDefinition>
40536	鹘	gu3	QUEUED		gǔ hú
183148	𬭬	hui4	UNSEEDED	EMPTY	<no kDefinition>
29325	犍	jian1	QUEUED		jiān qián
177391	𫓯	ji1	UNSEEDED	EMPTY	<no kDefinition>
34880	血	xue4	QUEUED		xuè xiě
29729	琡	chu4	UNSEEDED	EMPTY	<no kDefinition>
29022	煞	sha1	QUEUED		shā shà
