# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 58 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21571	呃	e4	QUEUED		è e
37125	鄅	yu3	UNSEEDED	EMPTY	<no kDefinition>
25308	拜	bai4	QUEUED		bài bái
34499	蛃	bing3	UNSEEDED	EMPTY	<no kDefinition>
182060	𬜬	man4	UNSEEDED	EMPTY	<no kDefinition>
27025	榑	fu2	UNSEEDED	EMPTY	<no kDefinition>
27934	洞	dong4	QUEUED		dòng tóng
37327	量	liang4	QUEUED		liàng liáng
23187	媓	huang2	UNSEEDED	EMPTY	<no kDefinition>
165496	𨙸	qi2	UNSEEDED	EMPTY	<no kDefinition>
21066	削	xue1	QUEUED		xuē xiāo
