# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
17622	䓖	qiong2	P	Cnidium officinale, a kind of medicinal herb		
20046	乎	hu1	P	interrogative or exclamatory final particle		
20147	亳	bo2	P	capital of Yin		
20248	优	you1	P	superior, excellent		
20248	优	you1	S	actor		
20349	佽	ci4	P	aid		
20349	佽	ci4	S	help		
20652	催	cui1	P	press, urge		
20854	其	qi2	P	his, her, its, their		
20854	其	qi2	S	that		
20955	凛	lin3	P	to shiver with cold or fear		
21056	剀	kai3	P	sharpen		
21056	剀	kai3	S	carefully, thorough		
21359	卯	mao3	P	fourth earthly branch		
21460	叔	shu1	P	father's younger brother		
21561	吹	chui1	P	blow		
21561	吹	chui1	S	puff		
21561	吹	chui1	A	brag, boast		
21965	嗍	suo1	P	to suck		
22066	嘲	chao2	P	ridicule, deride, scorn, jeer at		
22369	坡	po1	P	slope, bank, hillside		
22470	埆	que4	P	stony		
22672	墐	jin4	P	to build with soil, plaster over with mud		
22874	奚	xi1	P	where? what? how? why?		
22874	奚	xi1	S	servant		
23379	孓	jue2	P	beautiful		
23480	宸	chen2	P	imperial		
23480	宸	chen2	S	imperial palace		
23581	尝	chang2	P	taste		
23581	尝	chang2	S	experience, experiment		
23682	岂	qi3	P	how? what?		
23783	峧	jiao1	P	used in place names		
23884	嵌	qian4	P	inlay, set in		
23884	嵌	qian4	S	fall into		
23884	嵌	qian4	A	rugged		
24187	幻	huan4	P	illusion, fantasy, mirage		
24490	循	xun2	P	obey, comply with, follow		
24591	怏	yang4	P	discontented, dispirited, sad		
24793	惙	chuo4	P	sad, melancholy, grieving, mournful		
25096	戈	ge1	P	halberd, spear, lance		
25096	戈	ge1	S	rad. 62		
25197	扭	niu3	P	turn, twist, wrench		
25197	扭	niu3	S	seize, grasp		
25298	拒	ju4	P	ward off with hand, defend		
26106	旺	wang4	P	prosper		
26106	旺	wang4	S	prosperous		
26106	旺	wang4	A	increase		
26207	晟	cheng2	P	clear, bright		
26207	晟	cheng2	S	splendor, brightness		
26611	柳	liu3	P	willow tree		
26611	柳	liu3	S	pleasure		
26611	柳	liu3	A	24th lunar mansion, determinative star δ Hydrae		
26813	梽	zhi4	P	place name in Hunan		
27015	榇	chen4	P	coffin		
27015	榇	chen4	S	tung tree		
27722	汊	cha4	P	a branching stream		
28126	淞	song1	P	name of a river in Jiangsu		
28227	湃	pai4	P	sound of waves		
28227	湃	pai4	S	turbulent		
28530	潲	shao4	P	driving rain		
28530	潲	shao4	S	to sprinkle		
29237	爵	jue2	P	feudal title or rank		
29641	珉	min2	P	stone resembling jade		
29742	琮	cong2	P	octagonal piece of jade with hole in middle		
30146	痂	jia1	P	scab		
30449	盱	xu1	P	wide open eyes		
30449	盱	xu1	S	to gaze in astonishment		
30651	瞻	zhan1	P	look		
30651	瞻	zhan1	S	look out for		
30651	瞻	zhan1	A	respect		
30752	砠	ju1	P	rocky, hilly, uneven		
31055	祏	shi2	P	shrine		
31257	稙	zhi1	P	grain ready for grinding		
31459	竣	jun4	P	terminate, end, finish		
31459	竣	jun4	S	quit		
31661	箭	jian4	P	arrow		
31661	箭	jian4	S	type of bamboo		
32166	綦	qi2	P	dark grey. variegated. superlative		
32469	绕	rao4	P	entwine		
32469	绕	rao4	S	wind around		
32469	绕	rao4	A	surround		
32570	缺	que1	P	be short of, lack		
32570	缺	que1	S	gap, deficit		
32671	羟	qiang3	P	hydroxide		
32772	耄	mao4	P	elderly person		
32772	耄	mao4	S	very old, senile		
32873	聩	kui4	P	deaf		
32974	胎	tai1	P	unborn child, embryo, fetus		
33176	膘	biao1	P	fat		
33176	膘	biao1	S	rump		
33479	苇	wei3	P	reed		
33580	茬	cha2	P	harvest		
34388	虔	qian2	P	act with reverence		
34388	虔	qian2	S	reverent		
34590	蜞	qi2	P	a kind of crab		
34590	蜞	qi2	S	worm, leech		
34691	螃	pang2	P	crab		
34893	衍	yan3	P	overflow, spill over, spread out		
35802	诚	cheng2	P	sincere, honest		
35802	诚	cheng2	S	true, real		
35903	谿	xi1	P	valley, gorge		
35903	谿	xi1	S	mountain stream		
38024	针	zhen1	P	needle		
38024	针	zhen1	S	pin		
38024	针	zhen1	A	tack		
38024	针	zhen1	A	acupuncture		
38125	铭	ming2	P	inscribe, engrave		
38226	镒	yi4	P	measure of weight for gold		
38428	阜	fu4	P	mound		
38428	阜	fu4	S	abundant, ample, numerous		
39034	顺	shun4	P	obey, submit to, go along with		
39135	食	shi2	P	eat		
39135	食	shi2	S	meal		
39135	食	shi2	A	food		
39539	驳	bo2	P	varicolored, variegated		
39539	驳	bo2	S	mixed		
39640	高	gao1	P	high, tall		
39640	高	gao1	S	lofty, elevated		
40145	鳑	pang2	P	several species of small carp		
40751	鼯	wu2	P	flying squirrel		
