# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 93 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
22313	圩	wei2	QUEUED		wéi xū
29484	猬	wei4	FLAGGED	TRUNCATED	vulgar; wanton; low; many; varied; a hedgehog, porcupine
176439	𫄷	yi4	UNSEEDED	EMPTY	<no kDefinition>
39584	骠	biao1	QUEUED		biāo piào
183105	𬭁	mu3	UNSEEDED	EMPTY	<no kDefinition>
33827	萣	ding4	UNSEEDED	EMPTY	<no kDefinition>
21202	勒	lei1	QUEUED		lēi lè
183711	𬶟	la4	UNSEEDED	EMPTY	<no kDefinition>
22414	垎	he4	UNSEEDED	EMPTY	<no kDefinition>
21505	吁	xu1	QUEUED		xū yū yù
32918	肖	xiao4	QUEUED		xiào xiāo
38271	长	zhang3	QUEUED		zhǎng cháng
