# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
13838	㘎	han3	P	the roars of a tiger		
14343	㠇	jiu4	P	name of a mountain ridge		
17373	䏝	zhuan1	P	gizzard		
17878	䗖	di4	P	rainbow		
20302	低	di1	P	low		
20302	低	di1	S	to lower, hang, bend, bow		
20504	倘	tang3	P	if, supposing, in event of		
20908	冬	dong1	P	winter, 11th lunar month		
21009	刑	xing2	P	punishment, penalty		
21009	刑	xing2	S	law		
21413	厥	jue2	P	personal pronoun he, she, it		
21514	吊	diao4	P	condole, mourn, pity		
21514	吊	diao4	S	hang		
21716	哔	bi4	P	used in transliterations		
22120	器	qi4	P	receptacle, vessel		
22120	器	qi4	S	instrument		
22524	埼	qi2	P	headland		
22827	夫	fu1	P	man, male adult, husband		
22827	夫	fu1	S	those		
23130	婚	hun1	P	get married		
23130	婚	hun1	S	marriage, wedding		
23433	安	an1	P	peaceful, tranquil, quiet		
23534	寮	liao2	P	shanty, hut, shack		
23736	岸	an4	P	bank, shore		
23736	岸	an4	S	beach, coast		
23938	嶂	zhang4	P	cliff		
23938	嶂	zhang4	S	mountain barrier		
24039	巧	qiao3	P	skillful, ingenious, clever		
24140	幌	huang3	P	curtain, cloth screen		
24443	彻	che4	P	penetrate, pervade		
24443	彻	che4	S	penetrating		
24544	忠	zhong1	P	loyalty, devotion, fidelity		
24847	意	yi4	P	thought, idea, opinion		
24847	意	yi4	S	think		
25150	戾	li4	P	perverse, recalcitrant, rebellious		
25352	挈	qie4	P	assist, help, lead by hand		
25453	捭	bai3	P	to open		
25453	捭	bai3	S	to spread out		
25554	插	cha1	P	insert, stick into		
25554	插	cha1	S	plant		
25958	敦	dun1	P	esteem		
25958	敦	dun1	S	honest, candid, sincere		
26463	束	shu4	P	bind, control, restrain		
26463	束	shu4	S	bale		
26564	柄	bing3	P	handle, lever, knob		
26564	柄	bing3	S	authority		
26665	栩	xu3	P	species of oak		
26665	栩	xu3	S	be glad, be pleased		
27675	氛	fen1	P	gas, vapor, air		
27978	浊	zhuo2	P	muddy, turbid, dirty, filthy		
28079	涯	ya2	P	shore, bank, water's edge		
28180	渔	yu2	P	to fish		
28180	渔	yu2	S	seize		
28180	渔	yu2	A	pursue		
28382	滞	zhi4	P	block up, obstruct		
28382	滞	zhi4	S	stagnant		
28685	瀍	chan2	P	river in Henan province		
29190	爆	bao4	P	crackle, pop, burst, explode		
29392	狐	hu2	P	fox		
29594	玚	yang2	P	a kind of jade		
30402	盂	yu2	P	basin		
30402	盂	yu2	S	cup		
30604	瞌	ke1	P	doze off		
30604	瞌	ke1	S	sleepy		
30806	硖	xia2	P	town in Hebei province		
31513	笙	sheng1	P	small gourd-shaped musical instrument		
31614	签	qian1	P	sign, endorse		
31614	签	qian1	S	slip of paper		
32119	絷	zhi2	P	confine, tie up		
32119	絷	zhi2	S	imprison, shackle		
32725	翕	xi1	P	agree		
32927	肟	wo4	P	an organic compound		
33129	腩	nan3	P	fatty meat on a cow's belly		
33129	腩	nan3	S	abdomen		
33129	腩	nan3	A	to boil meat		
33331	舳	zhu2	P	stern of ship		
33432	芘	bi3	P	Malva sylvestris		
33735	菇	gu1	P	mushrooms		
34442	蚊	wen2	P	mosquito		
34442	蚊	wen2	S	gnat		
35048	裨	bi4	P	aid, benefit, help		
35048	裨	bi4	S	supplement		
35755	讫	qi4	P	finish		
35755	讫	qi4	S	conclude, stop		
35755	讫	qi4	A	exhaust		
35856	谐	xie2	P	harmonize, agree		
35856	谐	xie2	S	joke, jest		
36159	贿	hui4	P	bribe		
36159	贿	hui4	S	bribes		
36159	贿	hui4	A	riches, wealth		
36361	踉	liang4	P	hop, jump		
36361	踉	liang4	S	hurriedly, urgently		
36866	适	shi4	P	go, reach		
36866	适	shi4	S	appropriate, suitable		
37169	鄱	po2	P	county and lake in Jiangxi		
37775	鎏	liu2	P	pure gold		
38078	钾	jia3	P	potassium (element 19, K)		
38179	锣	luo2	P	gong		
38381	闭	bi4	P	shut, close		
38381	闭	bi4	S	obstruct, block up		
38684	霜	shuang1	P	frost		
38684	霜	shuang1	S	crystallized		
38684	霜	shuang1	A	candied		
38785	鞁	bei4	P	tack (of a horse)		
38886	韦	wei2	P	tanned leather		
39290	饺	jiao3	P	stuffed dumplings		
40098	鲢	lian2	P	silver carp, Hypophthalmichthys		
40502	鸶	si1	P	the eastern egret		
181801	𬘩	ting1	P	silk braided cord		
