# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
20002	丢	diu1	P	discard		
20305	佑	you4	P	help, protect, bless		
20608	傀	kui3	P	great, gigantic		
20608	傀	kui3	S	puppet		
20911	冯	feng2	P	gallop		
20911	冯	feng2	S	by dint of		
21315	千	qian1	P	thousand		
21315	千	qian1	S	many, numerous		
21315	千	qian1	A	very		
21315	千	qian1	A	a cheater, swindler		
21416	厨	chu2	P	kitchen		
21416	厨	chu2	S	closet		
21416	厨	chu2	A	cupboard		
21517	名	ming2	P	name, rank, title, position		
21618	呲	ci1	P	give a talking-to		
21820	唼	sha4	P	speaking evil		
21820	唼	sha4	S	gobbling sound made by ducks		
22123	噫	yi1	P	belch		
22123	噫	yi1	S	alas		
22426	垚	yao2	P	mound, roundish mass		
22830	央	yang1	P	center, conclude, run out		
22830	央	yang1	S	beg		
22931	妓	ji4	P	prostitute		
23234	嫂	sao3	P	sister-in-law, elder brother's wife		
23436	完	wan2	P	complete, finish, settle		
23436	完	wan2	S	whole		
23941	嶅	ao2	P	numerous small rocks on a mountain		
23941	嶅	ao2	S	used in mountain and place names		
24749	悭	qian1	P	miserly, parsimonious, stingy		
24951	慷	kang1	P	ardent		
24951	慷	kang1	S	generous, magnanimous		
25557	揕	zhen4	P	roll up the sleeves		
25557	揕	zhen4	S	fight bare-fisted		
25557	揕	zhen4	A	strike, stab		
25658	携	xie2	P	lead by hand, take with		
25658	携	xie2	S	carry		
25961	敩	xiao4	P	teach, instruct		
25961	敩	xiao4	S	be aroused		
25961	敩	xiao4	A	awake		
25961	敩	xiao4	A	intelligent		
26062	旎	ni3	P	fluttering of flag		
26062	旎	ni3	S	romantic		
26163	昳	die2	P	the declining sun in the west		
27779	沃	wo4	P	water, irrigate		
27779	沃	wo4	S	fertile, rich		
27880	注	zhu4	P	concentrate, focus, direct		
27981	浍	hui4	P	irrigation ditch, trench		
27981	浍	hui4	S	river		
28082	液	ye4	P	sap, juice, liquid, fluid		
28183	渗	shen4	P	soak through, infiltrate		
28385	满	man3	P	fill		
28385	满	man3	S	full, satisfied		
28486	潆	ying2	P	tiny stream		
28486	潆	ying2	S	swirl around		
28789	灵	ling2	P	spirit, soul		
28789	灵	ling2	S	spiritual world		
29294	牮	jian4	P	a prop, beam		
30001	由	you2	P	cause, reason		
30001	由	you2	S	from		
30102	疖	jie1	P	pimple, sore, boil		
30405	盅	zhong1	P	small cup or bowl		
30809	硙	wei4	P	stone mill		
30809	硙	wei4	S	grind		
30809	硙	wei4	A	break apart		
30910	碾	nian3	P	roller, crush		
30910	碾	nian3	S	roll		
31213	秭	zi3	P	one billion		
31213	秭	zi3	S	also used for higher powers of ten		
31718	篦	bi4	P	fine-toothed comb		
31718	篦	bi4	S	comb hair		
32324	繄	yi1	P	be		
32324	繄	yi1	S	particle		
32324	繄	yi1	A	sigh, alas		
32425	纩	kuang4	P	cotton		
32425	纩	kuang4	S	silk		
32526	缎	duan4	P	satin		
32829	耽	dan1	P	indulge in		
32829	耽	dan1	S	be negligent		
32930	肢	zhi1	P	human limbs		
32930	肢	zhi1	S	animal feet		
33233	臑	nao4	P	soft		
33334	舶	bo2	P	large, ocean-going vessel		
33536	茀	fu2	P	overgrown with grass, weedy		
33738	菊	ju2	P	chrysanthemum		
34142	蕞	zui4	P	little, small, tiny		
34142	蕞	zui4	S	petty		
34445	蚍	pi2	P	mussels		
34445	蚍	pi2	S	various shellfish		
34546	蛲	nao2	P	worms		
34647	蝗	huang2	P	kind of locust		
34950	袆	hui1	P	ceremonial gowns of a queen		
35354	訚	yin2	P	speak gently		
35354	訚	yin2	S	respectful		
35758	议	yi4	P	consult, talk over, discuss		
35859	谓	wei4	P	say, tell		
35859	谓	wei4	S	call, name		
35859	谓	wei4	A	be called		
36162	赂	lu4	P	bribe		
36162	赂	lu4	S	give present		
36364	踌	chou2	P	hesitate, falter		
36364	踌	chou2	S	smug, self-satisfied		
36869	逅	hou4	P	meet unexpectedly		
37071	郏	jia2	P	county in Henan province		
37576	鋈	wu4	P	silver plating		
38081	铁	tie3	P	iron		
38081	铁	tie3	S	strong, solid, firm		
38182	锦	jin3	P	brocade, tapestry		
38182	锦	jin3	S	embroidered		
38384	闰	run4	P	intercalary		
38384	闰	run4	S	extra, surplus		
38485	陕	shan3	P	mountain pass		
38485	陕	shan3	S	Shanxi province		
38586	隺	he4	P	a bird flying high ambition		
38889	韩	han2	P	fence		
38889	韩	han2	S	Korea		
39293	饽	bo1	P	ferrule		
40101	鲥	shi2	P	reeves' shad		
40101	鲥	shi2	S	hilsa herring		
40505	鸹	gua1	P	the crow		
40909	鿍	gang4	P	hill		
40909	鿍	gang4	S	long and narrow highland		
40909	鿍	gang4	A	throw up and scatter (as dust)		
181804	𬘬	qian4	P	dark red		
