# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 73 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21889	喁	yong2	QUEUED		yóng yú
24212	应	ying1	QUEUED		yīng yìng
33100	腌	yan1	QUEUED		yān ā
176621	𫇭	wei3	UNSEEDED	EMPTY	<no kDefinition>
26333	曝	pu4	QUEUED		pù bào
183085	𬬭	lun2	UNSEEDED	EMPTY	<no kDefinition>
29868	璬	jiao3	UNSEEDED	EMPTY	<no kDefinition>
183691	𬶋	ju1	UNSEEDED	EMPTY	<no kDefinition>
31181	种	zhong3	QUEUED		zhǒng chóng zhòng
33908	葴	zhen1	UNSEEDED	EMPTY	<no kDefinition>
