# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 5 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
20104	予	yu3	QUEUED		yǔ yú
38789	鞅	yang1	QUEUED		yāng yàng
182209	𬟁	yi4	UNSEEDED	EMPTY	<no kDefinition>
28689	瀑	pu4	QUEUED		pù bào
22427	垛	duo3	QUEUED		duǒ duò
25154	扂	dian4	UNSEEDED	EMPTY	<no kDefinition>
40910	鿎	ta3	QUEUED		tǎ dá
22629	塥	ge2	UNSEEDED	EMPTY	<no kDefinition>
23841	崡	han2	UNSEEDED	EMPTY	<no kDefinition>
27982	济	ji4	QUEUED		jì jǐ
32426	纪	ji4	QUEUED		jì jǐ
26366	曾	ceng2	QUEUED		céng zēng
