# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 7 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
23136	婠	wan1	UNSEEDED	EMPTY	<no kDefinition>
21520	吐	tu3	QUEUED		tǔ tù
36367	踏	ta4	QUEUED		tà tā
33741	菍	nie4	UNSEEDED	EMPTY	<no kDefinition>
29600	玠	jie4	UNSEEDED	VERBOSE, EMPTY	large jade tablet used by officials at court to indicate their ranks
33640	荨	xun2	QUEUED		xún qián
183726	𬶮	xi3	UNSEEDED	EMPTY	<no kDefinition>
181807	𬘯	zhun3	UNSEEDED	EMPTY	<no kDefinition>
20914	冲	chong1	QUEUED		chōng chòng
31216	称	cheng1	QUEUED		chēng chèn
20611	傃	su4	UNSEEDED	EMPTY	<no kDefinition>
