# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 41 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
30038	畖	wa1	UNSEEDED	EMPTY	<no kDefinition>
34482	蚲	ping2	UNSEEDED	EMPTY	<no kDefinition>
28018	浲	feng2	UNSEEDED	EMPTY	<no kDefinition>
28725	瀵	fen4	UNSEEDED	EMPTY	<no kDefinition>
23170	媂	di4	UNSEEDED	EMPTY	<no kDefinition>
31755	簋	gui3	UNSEEDED	VERBOSE, EMPTY	a square basket of bamboo for holding grain used at sacrifices
39734	鬶	gui1	UNSEEDED	EMPTY	<no kDefinition>
23877	嵅	han2	UNSEEDED	EMPTY	<no kDefinition>
15696	㵐	jue2	UNSEEDED	VERBOSE, EMPTY	name of a river in Hubei Province, name of a state in ancient times
22463	垿	xu4	UNSEEDED	EMPTY	<no kDefinition>
21049	刹	sha1	QUEUED		shā chà
