# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 45 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
21457	发	fa1	QUEUED		fā fà
36910	逮	dai3	QUEUED		dǎi dài
38223	镏	liu2	QUEUED		liú liù
183562	𬴊	lin2	UNSEEDED	EMPTY	<no kDefinition>
35900	谼	hong2	UNSEEDED	EMPTY	<no kDefinition>
183158	𬭶	hei1	UNSEEDED	EMPTY	<no kDefinition>
23780	峤	jiao4	QUEUED		jiào qiáo
20447	俟	qi2	QUEUED		qí sì
38425	阙	que1	QUEUED		quē què
33678	莎	sha1	QUEUED		shā suō
