# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 77 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
26640	栐	yong3	UNSEEDED	EMPTY	<no kDefinition>
27448	欸	ai3	QUEUED		ǎi ēi éi ěi èi
34720	螠	yi4	UNSEEDED	EMPTY	<no kDefinition>
38053	钥	yao4	QUEUED		yào yuè
40073	鲉	you2	UNSEEDED	EMPTY	<no kDefinition>
25226	把	ba3	QUEUED		bǎ bà
27852	泌	mi4	QUEUED		mì bì
21792	唠	lao2	QUEUED		láo lào
22297	圙	lüe4	UNSEEDED	EMPTY	<no kDefinition>
26438	杆	gan1	QUEUED		gān gǎn
23610	尺	chi3	QUEUED		chǐ chě
