# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+5582	喂	wèi	wèi	wèi(151)
U+5591	喑	yīn	yīn	
U+5594	喔	wō	ō	ō(103)
U+55BB	喻	yù	yù	
U+55CC	嗌	ài,yì	ài	
U+55E1	嗡	wēng	wēng	wēng(56)
U+55F3	嗳	ǎi,ài	ǎi	
U+55F7	嗷	áo	áo	
U+5624	嘤	yīng	yīng	
U+564E	噎	yē	yē	
U+5662	噢	ō	ō	ō(103)
U+5669	噩	è	è	
U+566B	噫	yī	yī	
U+569A	嚚	yín	yín	
U+56E0	因	yīn	yīn	yīn(1919)
U+56ED	园	yuán	yuán	yuán(258)
U+56F4	围	wéi	wéi	wéi(654)
U+56FF	囿	yòu	yòu	
U+5704	圄	yǔ	yǔ	
U+5706	圆	yuán	yuán	yuán(197)
U+5709	圉	yǔ	yǔ	
U+5729	圩	wéi,xū	wéi	
U+572C	圬	wū	wū	
U+572F	圯	yí	yí	
U+575E	坞	wù	wù	
U+5773	坳	ào	ào	
U+579A	垚	yáo	yáo	
U+579F	垟	yáng	yáng	
U+57A0	垠	yín	yín	
U+57A3	垣	yuán	yuán	
U+57A9	垩	è	è	
U+57AD	垭	yā	yā	
U+57B5	垵	ān	ān	
U+57B8	垸	yuàn	yuàn	
U+57C3	埃	āi	āi	āi(33)
U+57C7	埇	yǒng	yǒng	
U+57DF	域	yù	yù	yù(124)
U+57EF	埯	ǎn	ǎn	
U+57F8	埸	yì	yì	
U+5809	堉	yù	yù	
U+5810	堐	yá	yá	
U+5819	堙	yīn	yīn	
U+5828	堨	è	è	
U+5830	堰	yàn	yàn	yàn(12)
U+5846	塆	wān	wān	
U+586C	塬	yuán	yuán	
U+5889	墉	yōng	yōng	
U+5895	墕	yān	yàn	
U+58C5	壅	yōng	yōng	
U+58F9	壹	yī	yī	
U+5916	外	wài	wài	wài(2233)
U+591C	夜	yè	yè	yè(799)
U+5924	夤	yín	yín	
U+592D	夭	yāo	yāo	
U+592E	央	yāng	yāng	yāng(393)
U+5937	夷	yí	yí	
U+5944	奄	yǎn	yǎn	
U+5955	奕	yì	yì	
U+5961	奡	ào	ào	
U+5965	奥	ào	ào	
U+5984	妄	wàng	wàng	wàng(48)
U+598D	妍	yán	yán	
U+5996	妖	yāo	yāo	
U+5998	妘	yún	yún	
U+59A4	妤	yú	yú	
U+59A7	妧	yuán	yuán	
U+59A9	妩	wǔ	wǔ	
U+59AA	妪	yù	yù	
U+59D4	委	wěi	wěi	wěi(668)
U+59DA	姚	yáo	yáo	
U+59E8	姨	yí	yí	yí(55)
U+59F6	姶	è	è	
U+59FB	姻	yīn	yīn	yīn(21)
U+5A01	威	wēi	wēi	wēi(188)
U+5A03	娃	wá	wá	wá(44) wa(44)
U+5A05	娅	yà	yà	
U+5A13	娓	wěi	wěi	
U+5A25	娥	é	é	
U+5A31	娱	yú	yú	yú(15)
U+5A32	娲	wā	wā	
U+5A40	婀	ē	ē	
U+5A49	婉	wǎn	wǎn	
U+5A60	婠	wān	wān	
U+5A74	婴	yīng	yīng	yīng(35)
U+5A7A	婺	wù	wù	
U+5A96	媖	yīng	yīng	
U+5A9B	媛	yuán,yuàn	yuàn	
U+5AAA	媪	ǎo	ǎo	
U+5AB1	媱	yáo	yáo	
U+5AB5	媵	yìng	yìng	
U+5AC4	嫄	yuán	yuán	
U+5AD2	嫒	ài	ài	
U+5AD5	嫕	yì	yì	
U+5AE3	嫣	yān	yān	
U+5B34	嬴	yíng	yíng	
U+5B3F	嬿	yàn	yàn	
U+5B55	孕	yùn	yùn	
