# Kranji phonic partition - initial: m
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 320
U+731B	猛	měng	měng	měng(258)
U+732B	猫	māo	māo	māo(62)
U+7374	獴	měng	měng	
U+739B	玛	mǎ	mǎ	
U+73AB	玫	méi	méi	
U+73C9	珉	mín	mín	
U+7441	瑁	mào	mào	
U+7442	瑂	méi	méi	
U+750D	甍	méng	méng	
U+763C	瘼	mò	mò	
U+76BF	皿	mǐn	mǐn	
U+76DF	盟	méng	méng	méng(77)
U+76EE	目	mù	mù	mù(814)
U+76F2	盲	máng	máng	máng(41)
U+7704	眄	miàn	miàn	
U+7707	眇	miǎo	miǎo	
U+7709	眉	méi	méi	méi(131)
U+770A	眊	mào	mào	
U+7720	眠	mián	mián	mián(48)
U+772F	眯	mī,mí	mī	mī(64)
U+7738	眸	móu	móu	
U+7766	睦	mù	mù	
U+7780	瞀	mào	mào	
U+7784	瞄	miáo	miáo	miáo(13)
U+7791	瞑	míng	míng	
U+7792	瞒	mán	mán	mán(32)
U+77A2	瞢	méng	méng	
U+77DB	矛	máo	máo	máo(279)
U+7801	码	mǎ	mǎ	mǎ(60)
U+786D	硭	máng	máng	
U+78E8	磨	mó,mò	mó	mó(90) mo(44) mò(30)
U+791E	礞	méng	méng	
U+7943	祃	mà	mà	
U+7955	祕	mì	mì	
U+7962	祢	mí	mí	
U+79D2	秒	miǎo	miǎo	miǎo(104)
U+79D8	秘	bì,mì	mì	mì(154)
U+79E3	秣	mò	mò	
U+7A46	穆	mù	mù	mù(10)
U+7BFE	篾	miè	miè	
U+7C73	米	mǐ	mǐ	mǐ(784)
U+7CDC	糜	méi,mí	mí	
U+7E3B	縻	mí	mí	
U+7EF5	绵	mián	mián	mián(18)
U+7F05	缅	miǎn	miǎn	
U+7F08	缈	miǎo	miǎo	
U+7F17	缗	mín	mín	
U+7F26	缦	màn	màn	
U+7F2A	缪	miào,miù,móu	móu	
U+7F8E	美	měi	měi	měi(466)
U+8004	耄	mào	mào	
U+8031	耱	mò	mò	
U+8109	脉	mài,mò	mài	mài(116)
U+8112	脒	mǐ	mǐ	
U+817C	腼	miǎn	miǎn	
U+819C	膜	mó	mó	mó(54)
U+824B	艋	měng	měng	
U+8268	艨	méng	méng	
U+8288	芈	mǐ	mǐ	
U+8292	芒	máng	máng	máng(35)
U+82BC	芼	mào	mào	
U+82D7	苗	miáo	miáo	miáo(71)
U+82DC	苜	mù	mù	
U+82E0	苠	mín	mín	
U+8302	茂	mào	mào	mào(29)
U+8305	茅	máo	máo	máo(17)
U+8306	茆	máo	máo	
U+8309	茉	mò	mò	
U+8317	茗	míng	míng	
U+832B	茫	máng	máng	máng(76) māng(36)
U+836C	荬	mǎi	mǎi	
U+8393	莓	méi	méi	
U+83AB	莫	mò	mò	mò(42) mo(21)
U+83BD	莽	mǎng	mǎng	
U+840C	萌	méng	méng	
U+8499	蒙	mēng,méng,měng	méng	méng(62) mēng(15) měng(13)
U+84C2	蓂	mì	míng	
U+84E6	蓦	mò	mò	
U+8511	蔑	miè	miè	miè(12)
U+8513	蔓	mán,màn,wàn	màn	
U+85D0	藐	miǎo	miǎo	
U+85E6	藦	mó	mó	
U+8611	蘑	mó	mó	mó(12)
U+863C	蘼	mí	mí	
U+867B	虻	méng	méng	
U+8682	蚂	mǎ,mà	mǎ	mǎ(40)
U+86D1	蛑	móu	móu	
U+86EE	蛮	mán	mán	
U+871C	蜜	mì	mì	mì(110)
U+8722	蜢	měng	měng	
U+8765	蝥	máo	máo	
U+879F	螟	míng	míng	
U+87A8	螨	mǎn	mǎn	
U+87C6	蟆	má	má	ma(12)
U+87CA	蟊	máo	máo	
U+87D2	蟒	mǎng	mǎng	
U+8813	蠓	měng	měng	
U+8882	袂	mèi	mèi	
U+88A4	袤	mào	mào	
U+89C5	觅	mì	mì	
U+8C0B	谋	móu	móu	móu(98) mou(24)
U+8C1C	谜	mí	mí	
U+8C1F	谟	mó	mó	
U+8C27	谧	mì	mì	
U+8C29	谩	màn	màn	
U+8C2C	谬	miù	miù	miù(26)
U+8C8A	貊	mò	mò	
U+8C8C	貌	mào	mào	mào(95)
U+8C98	貘	mò	mò	
U+8D38	贸	mào	mào	mào(36)
U+8FC8	迈	mài	mài	mài(83)
U+8FF7	迷	mí	mí	mí(150)
U+9088	邈	miǎo	miǎo	
U+9099	邙	máng	máng	
U+90FF	郿	méi	méi	
U+911A	鄚	mào	mào	
U+9169	酩	mǐng	mǐng	
U+9176	酶	méi	méi	méi(13)
U+919A	醚	mí	mí	
U+91BE	醾	mí	mí	
U+936A	鍪	móu	móu	
U+9494	钔	mén	mén	
U+94BC	钼	mù	mù	
U+94C6	铆	mǎo	mǎo	
U+94ED	铭	míng	míng	
U+951A	锚	máo	máo	
U+9530	锰	měng	měng	
U+9541	镁	měi	měi	měi(14)
U+9545	镅	méi	méi	
U+9546	镆	mò	mò	
U+9558	镘	màn	màn	
U+95E8	门	mén	mén	mén(1633) men(20)
U+95F5	闵	mǐn	mǐn	
U+95F7	闷	mēn,mèn	mèn	mèn(46) mēn(29)
U+95FD	闽	mǐn	mǐn	
U+964C	陌	mò	mò	mò(32)
U+9709	霉	méi	méi	méi(38)
U+973E	霾	mái	mái	
U+9761	靡	mí,mǐ	mí	
U+9762	面	miàn	miàn	miàn(3227) mian(1300)
U+977A	靺	mò	mò	
U+9794	鞔	mán	mán	
U+989F	颟	mān	mān	
U+998D	馍	mó	mó	
U+9992	馒	mán	mán	mán(37)
U+9A6C	马	mǎ	mǎ	mǎ(891)
U+9A82	骂	mà	mà	mà(182)
U+9AE6	髦	máo	máo	máo(14)
U+9B18	鬘	mán	mán	
U+9B45	魅	mèi	mèi	
U+9B54	魔	mó	mó	mó(53)
U+9CD7	鳗	mán	mán	
U+9CD8	鳘	mǐn	mǐn	
U+9E23	鸣	míng	míng	míng(66)
U+9E4B	鹋	miáo	miáo	
U+9E5B	鹛	méi	méi	
U+9E72	鹲	méng	méng	
U+9E8B	麋	mí	mí	
U+9EA6	麦	mài	mài	mài(146)
U+9EBB	麻	má	má	má(159) ma(11)
U+9EBD	麽	mó	mó	
U+9ED8	默	mò	mò	mò(199)
U+9EFE	黾	mǐn	mǐn	
U+9FCF	鿏	mài	mài	
U+27FF9	𧿹	mǔ	mǔ	
U+29F83	𩾃	miǎn	miǎn	
U+2B461	𫑡	méng	méng	
U+2B7A9	𫞩	mén	mén	
U+2C64A	𬙊	mò	mò	
U+2C72C	𬜬	màn	màn	
U+2CB41	𬭁	mǔ	mǔ	
