# Kranji phonic partition - initial: z
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 194
U+8C2E	谮	zèn	zèn	
U+8D23	责	zé	zé	zé(363)
U+8D3C	贼	zéi	zéi	zéi(31)
U+8D40	赀	zī	zī	
U+8D43	赃	zāng	zāng	
U+8D44	资	zī	zī	zī(1455)
U+8D5C	赜	zé	zé	
U+8D5E	赞	zàn	zàn	zàn(162)
U+8D60	赠	zèng	zèng	
U+8D70	走	zǒu	zǒu	zǒu(3176)
U+8D91	趑	zī	zī	
U+8DB1	趱	zǎn	zǎn	
U+8DB3	足	zú	zú	zú(310)
U+8E2A	踪	zōng	zōng	zōng(12)
U+8E81	躁	zào	zào	zào(33)
U+8E9C	躜	zuān	zuān	
U+8F7D	载	zǎi,zài	zài	zài(80) zǎi(64)
U+8F8E	辎	zī	zī	
U+8FEE	迮	zé	zé	
U+9020	造	zào	zào	zào(1377)
U+906D	遭	zāo	zāo	zāo(192)
U+9075	遵	zūn	zūn	zūn(90)
U+90B9	邹	zōu	zōu	
U+9111	鄑	zī	zī	
U+912B	鄫	zēng	zēng	
U+9139	鄹	zōu	zōu	
U+9142	酂	zàn	zàn	
U+9162	酢	zuò	zuò	
U+9189	醉	zuì	zuì	zuì(51)
U+933E	錾	zàn	zàn	
U+94BB	钻	zuān,zuàn	zuān	zuān(205)
U+9503	锃	zèng	zèng	
U+9531	锱	zī	zī	
U+9543	镃	zī	zī	
U+955E	镞	zú	zú	
U+963B	阻	zǔ	zǔ	zǔ(157)
U+963C	阼	zuò	zuò	
U+966C	陬	zōu	zōu	
U+9A75	驵	zǎng	zǎng	
U+9A7A	驺	zōu	zōu	
U+9AED	髭	zī	zī	
U+9B03	鬃	zōng	zōng	
U+9B37	鬷	zōng	zōng	
U+9C97	鲗	zéi	zéi	
U+9CB0	鲰	zōu	zōu	
U+9CBB	鲻	zī	zī	
U+9CDF	鳟	zūn	zūn	
U+9F12	鼒	zī	zī	
U+9F87	龇	zī	zī	
U+255A8	𥖨	zào	zào	
U+28C54	𨱔	zūn	zūn	
