# Kranji phonic partition - initial: h
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 412
U+66B5	暵	hàn	hàn	
U+66F7	曷	hé	hé	
U+676D	杭	háng	háng	
U+6838	核	hé,hú	hé	hé(68)
U+6841	桁	héng	héng	
U+6853	桓	huán	huán	
U+6866	桦	huà	huà	huà(12)
U+69D0	槐	huái	huái	huái(12)
U+69F2	槲	hú	hú	
U+6A2A	横	héng,hèng	héng	héng(131)
U+6A5E	橞	huì	huì	
U+6B22	欢	huān	huān	huan(252) huān(248)
U+6BC1	毁	huǐ	huǐ	huǐ(92)
U+6BEB	毫	háo	háo	háo(225)
U+6C26	氦	hài	hài	
U+6C47	汇	huì	huì	huì(73)
U+6C49	汉	hàn	hàn	hàn(227)
U+6C57	汗	hán,hàn	hàn	hàn(47)
U+6C86	沆	hàng	hàng	
U+6CAA	沪	hù	hù	
U+6CB3	河	hé	hé	hé(958)
U+6CD3	泓	hóng	hóng	
U+6D04	洄	huí	huí	
U+6D2A	洪	hóng	hóng	hóng(46)
U+6D39	洹	huán	huán	
U+6D3B	活	huó	huó	huó(1755) huo(54)
U+6D4D	浍	huì	huì	
U+6D51	浑	hún	hún	hún(99)
U+6D52	浒	hǔ,xǔ	hǔ	
U+6D5B	浛	hán	hán	
U+6D63	浣	huàn	huàn	
U+6D69	浩	hào	hào	hào(11)
U+6D77	海	hǎi	hǎi	hǎi(914)
U+6DA3	涣	huàn	huàn	
U+6DB5	涵	hán	hán	
U+6DB8	涸	hé	hé	
U+6DCF	淏	hào	hào	
U+6DEE	淮	huái	huái	
U+6DF4	淴	hū	hū	
U+6DF7	混	hùn	hùn	hùn(197) hún(10)
U+6E56	湖	hú	hú	hú(248)
U+6E5F	湟	huáng	huáng	
U+6EB7	溷	hùn	hùn	
U+6EC9	滉	huàng	huàng	
U+6ED1	滑	huá	huá	huá(70) hua(27)
U+6EF9	滹	hū	hū	
U+6F36	漶	huàn	huàn	
U+6F37	漷	huǒ	huǒ	
U+6F62	潢	huáng	huáng	
U+6FB4	澴	huán	huán	
U+6FE0	濠	háo	háo	
U+6FE9	濩	huò	huò	
U+701A	瀚	hàn	hàn	
U+704F	灏	hào	hào	
U+706B	火	huǒ	huǒ	huǒ(956)
U+7070	灰	huī	huī	huī(189)
U+70C0	烀	hū	hū	
U+70D8	烘	hōng	hōng	hōng(19)
U+70E0	烠	huí	huí	
U+70E9	烩	huì	huì	
U+710A	焊	hàn	hàn	hàn(93)
U+7113	焓	hán	hán	
U+7115	焕	huàn	huàn	
U+714C	煌	huáng	huáng	huáng(26)
